[0] 1:48	Heat.
[732] 39:05	So,
[733] 39:07	there's just some guys that are just
[734] 39:08	that good. They're just that good at
[735] 39:11	what they do.
[736] 39:13	So, you know, it's it's just one of
[737] 39:15	those things that Yeah, I'm I'm honestly
[738] 39:19	is uh uh Mark Francois is great. He is
[739] 39:22	great. He he's fun. I love him. He's a
[740] 39:25	conference buddy. He's a conference
[741] 39:26	buddy. Um I I have a selfie of him with
[742] 39:29	Mr. EC.
[743] 39:32	I'm [laughter] going to post that.
[744] 39:35	I reminded him at the conference. Yeah.
[745] 39:37	I have a [laughter] have a selfie of him
[746] 39:39	with mystery.
[747] 39:43	[laughter]
[748] 39:48	I'm so jealous.
[749] 39:51	[laughter]
[750] 39:59	Uh, Darkling asks, "Did he did he attack
[751] 40:01	just that part of Word's presentation or
[752] 40:04	the authenticity of the Satanic versus
[753] 40:06	narrative in general?" No, he didn't
[754] 40:08	attack the authenticity of the Satanic
[755] 40:10	versus uh narrative. Um, he attacked
[756] 40:15	basically Wood's methodology.
[757] 40:20	um basically his criticism of modern
[758] 40:24	Islamic historians methodology. Okay. So
[759] 40:28	that's what he attacked
[760] 40:31	which was basically the core of his
[761] 40:32	paper. You know it's it's the core of
[762] 40:35	his paper wasn't so much the
[763] 40:36	authenticity of the satanic verses. I
[764] 40:39	mean it's really no question that early
[765] 40:42	Islamic scholars saw these these as
[766] 40:45	genuine. It's the later ones that are at
[767] 40:47	issue.
[768] 40:49	So it's it's the methodology of the
[769] 40:51	later scholars that has to be engaged
[770] 40:53	here. And
[771] 40:57	um
[772] 40:58	he attacked basically Wood's criticism
[773] 41:02	which was that that's really the core of
[774] 41:05	the paper. So
[775] 41:11	yeah, we do all get great ideas that
[776] 41:13	just don't pan out. This is this is
[777] 41:14	normal. you know every it's happened to
[778] 41:18	everyone
[779] 41:20	you know sometimes it's private
[780] 41:22	sometimes it's very public
[781] 41:24	you hope you do it happens privately now
[782] 41:27	this is one of the things is I think um
[783] 41:29	>> this is made
[784] 41:32	we want any mistakes
[785] 41:38	>> uh we have u I mean this is why Carmen I
[786] 41:42	asked me to uh to read her SPL paper
[787] 41:45	before she gave it on Monday like okay
[788] 41:48	cool I'll do that sure absolutely I'll
[789] 41:50	help you out
[790] 41:52	she was thrilled you know I pointed out
[791] 41:54	several points where her paper had made
[792] 41:56	sort of blunders or at least need to be
[793] 41:59	better considered
[794] 42:01	so um so yeah it's just
[795] 42:07	you you you rely on the feedback of
[796] 42:10	others you know whether that's
[797] 42:11	peerreview critique of your paper or as
[798] 42:16	uh Mrs. Producer just pointed out beta
[799] 42:18	reading.
[800] 42:20	Yeah.
[801] 42:22	Yeah, she heard you.
[802] 42:24	So,
[803] 42:35	so yeah, that's uh so that's was really
[804] 42:38	what's going on there.
[805] 42:40	Okay, so let's start moving on here.
[806] 42:43	We've talked about Wood's Quran paper
[807] 42:45	lecture enough. Yeah, I think I think
[808] 42:47	overall it got gutted. Uh I wouldn't use
[809] 42:50	that argument seeing the criticism that
[810] 42:53	came of it. I don't think it's a good
[811] 42:54	argument. So, okay. Um
[812] 42:59	CBM uh versus DOSS for $10. Thank you
[813] 43:02	for the super chat. Foodie time. Oh, I
[814] 43:05	love foodie time.
[815] 43:07	Recommend me a good wine for salmon if
[816] 43:10	none can be decided. Best soft drink.
[817] 43:13	Uh, happy day after Thanksgiving as
[818] 43:15	well. Oh, the happy day after
[819] 43:17	Thanksgiving as well. Um, there's a lot
[820] 43:20	of good um,
[821] 43:23	uh, what's it called now? Um, wines you
[822] 43:25	can pair with salmon.
[823] 43:28	Um,
[824] 43:30	a white wine will pair well with salmon.
[825] 43:32	A rosé like a um like a um
[826] 43:39	a pink zinfendelle.
[827] 43:41	White Zinfendel will will pair really
[828] 43:43	nice. It's a blush. That'll pair really
[829] 43:46	nice with with salmon. Uh, another thing
[830] 43:49	you could do is a a um what's it called?
[831] 43:53	A there's a champagne type drink. What's
[832] 43:56	it called now? Um, Italian. It's
[833] 43:59	Italian. I can't remember the name of
[834] 44:00	it. U, those pair very nicely with with
[835] 44:06	salmon, too. Um
[836] 44:16	um proco. That's it. Uh proos pair
[837] 44:20	really nicely
[838] 44:22	with um with salmon as well.
[839] 44:26	So,
[840] 44:31	oh yeah, pink one. That's what a white
[841] 44:33	zenfendel is. It's it's a blush. It's a
[842] 44:35	rosé. Um it's a very nice um semieet
[843] 44:40	rosé. So roses do do pair very nicely
[844] 44:44	with with salmon. White wines pair very
[845] 44:47	nicely with salmon. Uh procos
[846] 44:50	uh remarkably well with salmon.
[847] 44:54	So I would the what I would avoid is a
[848] 44:57	heavy red. Um don't go heavy red with
[849] 45:00	seafood, particularly not salmon. It's
[850] 45:03	just too much. is too overwhelming.
[851] 45:06	You will lose the nuance of the salmon.
[852] 45:08	You want you want a nice light wine that
[853] 45:11	refreshes the pallet.
[854] 45:20	That would be probably too overwhelming
[855] 45:21	though.
[856] 45:24	Okay,
[857] 45:26	but those are my wine recommendations.
[858] 45:29	All right, so thank you very much for
[859] 45:30	the super chat. Very much appreciate it.
[860] 45:46	Okay.
[861] 45:50	Next one here is from
[862] 45:54	is from mama for $2. Thank you very
[863] 45:57	much.
[864] 45:59	Okay. Uh, the 11-year-old wants your
[865] 46:02	opinion on AI powered glasses.
[866] 46:08	I don't wouldn't use AI uh powered
[867] 46:11	glasses for the same reason I wouldn't
[868] 46:13	use Alexa.
[869] 46:14	Okay,
[870] 46:17	which is AI powered anything
[871] 46:22	not only
[872] 46:25	gives you information, it takes
[873] 46:28	information.
[874] 46:29	Okay, much of the power of AI is based
[875] 46:33	upon taking data around you and sending
[876] 46:37	it back to an aggregator.
[877] 46:41	That's that's how AI works on a
[878] 46:44	fundamental level. Okay. So,
[879] 46:48	an AI
[880] 46:50	powered glasses is going to be able to
[881] 46:52	not just give you information about your
[882] 46:54	surroundings, but it will also track
[883] 46:58	you.
[884] 47:00	It will also track your location. It'll
[885] 47:02	track what you're interacting with.
[886] 47:04	It'll track what you eat. You can forget
[887] 47:07	privacy.
[888] 47:08	You can absolutely forget privacy with
[889] 47:10	with AI powered glasses.
[890] 47:13	It's going to record what you do, where
[891] 47:15	you are,
[892] 47:19	who you're with, give you targeted ads.
[893] 47:24	>> Oh, yeah.
[894] 47:25	>> It's going to it's going to it's going
[895] 47:27	to uh to look see and see that you're
[896] 47:30	eating a uh plate of spaghetti and then
[897] 47:33	recommend a brand of cheese for you to
[898] 47:35	couple with it.
[899] 47:41	>> [laughter]
[900] 47:51	>> Uh, Dark Blade says, "Non AI glasses
[901] 47:53	have worked just fine for at least 200
[902] 47:55	years." Well, pro. They're older than
[903] 47:56	that. But,
[904] 47:59	but absolutely. I mean, you don't need
[905] 48:01	AI glasses. Um, I don't I don't think I
[906] 48:05	I don't think the the benefits will
[907] 48:10	outweigh the the negatives on this one.
[908] 48:14	So,
[909] 48:16	uh,
[910] 48:19	so yeah. Um, again, I think I think the
[911] 48:21	privacy concerns are the biggest issue.
[912] 48:23	Hey, you'll never go missing. The
[913] 48:27	computer will always know where you are.
[914] 48:30	>> But if you're ever kidnapped,
[915] 48:35	Yeah. So,
[916] 48:44	okay.
[917] 48:46	So, yeah, that's that's what I would say
[918] 48:48	essentially is that they're just they're
[919] 48:50	not worth the privacy concerns. again.
[920] 48:52	Um
[921] 48:54	I mean Alexis uh one of the things that
[922] 48:57	people didn't understand about say
[923] 48:58	Alexis is that
[924] 49:02	there were a lot of
[925] 49:06	what it could when Alexis couldn't
[926] 49:08	understand what was said. Your recording
[927] 49:10	was sent to a data center
[928] 49:14	where
[929] 49:16	uh where human beings were actually
[930] 49:19	listening in and interpreting what it
[931] 49:22	could not
[932] 49:24	what the machine could not understand.
[933] 49:27	Now this led to apparently some giggles
[934] 49:30	in that data center when they heard
[935] 49:32	people's bedroom talk coming from
[936] 49:35	Alexis. So Alexa. though
[937] 49:40	it will listen in.
[938] 49:43	Your glasses will listen into your
[939] 49:45	private conversations.
[940] 49:47	It will listen into your confidential
[941] 49:50	conversations
[942] 49:52	and it doesn't doesn't care.
[943] 49:58	So So
[944] 50:01	uh so that that's the reason I don't
[945] 50:03	have an Alexa in my home. why I won't
[946] 50:06	have um have uh AI glasses and I think I
[947] 50:11	think just the privacy concerns are are
[948] 50:14	bad enough
[949] 50:22	papa
[950] 50:24	[laughter]
[951] 50:25	instead of seeing lizard people when you
[952] 50:27	put them on you see terminators.
[953] 50:30	Yeah, once once we get Skynet going,
[954] 50:31	yeah, I'll probably be terminators.
[955] 50:35	Okay,
[956] 50:37	so I hope that answers the question. Uh,
[957] 50:45	uh, Mama says, "Side note, uh, Siri on
[958] 50:48	my phone is rapidly degrading. I
[959] 50:50	selected that it only listens when I
[960] 50:52	press home." Okay.
[961] 51:01	Elsa says, "I always feel like
[962] 51:03	somebody's watching me." That was a
[963] 51:05	great song. Rockwell was was kind of a
[964] 51:09	dirt bag human, but dang, that was a
[965] 51:11	great song.
[966] 51:13	And Mama says, "Doc, she truly
[967] 51:15	appreciates your answers to her
[968] 51:17	questions. She giggled happily when you
[969] 51:18	said hi earlier." Well, I loved saying
[970] 51:21	hi. That was fun. That was lots of fun.
[971] 51:24	CPM versus DOS. Good song. Oh yeah. Oh
[972] 51:28	yeah. That that watching me song. Oh,
[973] 51:30	that was a great song.
[974] 51:32	Kind of catchy. I've got it ringing
[975] 51:34	through my head right now.
[976] 51:36	Uh Rockwell. Uh I always feel like
[977] 51:38	someone's watching me.
[978] 51:41	[laughter]
[979] 51:42	You even remember it, huh?
[980] 51:45	>> My research [laughter]
[981] 51:47	song.
[982] 51:48	>> She doesn't need that song in her head.
[983] 51:51	[laughter]
[984] 51:57	Uh, private eyes are watching you. That
[985] 51:59	was never as catchy, but that song I
[986] 52:02	always feel like somebody's watching me.
[987] 52:07	[laughter]
[988] 52:07	That was that was just just a viral.
[989] 52:10	That was an earworm. [laughter]
[990] 52:19	Ah, good times. The 80s were good times.
[991] 52:26	Ah, all right. So, go on the next one
[992] 52:30	here.
[993] 52:33	Um, uh, Baron St. Vaughn for $5. Thank
[994] 52:36	you for the super chat.
[995] 52:39	Uh, thoughts on the skeptic argument.
[996] 52:41	Disagreements on major particularly
[997] 52:43	salvific doctrine among denominations
[998] 52:45	falsifies Christianity. And no, it
[999] 52:48	doesn't. I mean I mean it no longer I
[1000] 52:52	mean that's kind of like saying well you
[1001] 52:53	know the bore model and the Einstein
[1002] 52:56	model and the the raisin bun model all
[1003] 52:59	those different views of of the atom
[1004] 53:02	therefore there's no such thing as atoms
[1005] 53:05	[laughter]
[1006] 53:08	that that's that's that's the equivalent
[1007] 53:09	here you know uh
[1008] 53:17	>> yeah I mean just
[1009] 53:19	I mean disagreements on salvific
[1010] 53:22	doctrines does not falsify Christianity.
[1011] 53:25	I mean it doesn't and frankly most of
[1012] 53:28	the m the disagreements
[1013] 53:31	um are really matters of detail. I mean
[1014] 53:34	all Christian denominations believe in
[1015] 53:36	salvation by grace. They just argue over
[1016] 53:40	what is grace.
[1017] 53:43	Okay. So
[1018] 53:45	or the specifics of the means of grace.
[1019] 53:49	But they don't they don't disagree on on
[1020] 53:51	that salvation is by grace.
[1021] 53:55	So,
[1022] 53:57	um,
[1023] 53:59	and even so, even if they're all wrong,
[1024] 54:01	let's say they're all wrong on the
[1025] 54:02	doctrine of salvation, doesn't mean
[1026] 54:03	Christianity is wrong. It just means
[1027] 54:05	they're interpreting alter interpreting
[1028] 54:06	it wrong.
[1029] 54:08	So,
[1030] 54:10	it's it's a pretty spurious argument.
[1031] 54:13	It's just, as I said, it's it's kind of
[1032] 54:15	like having different views on one
[1033] 54:19	particular thing. Everyone agrees the
[1034] 54:21	thing exists
[1035] 54:23	and yet saying that thing doesn't exist.
[1036] 54:27	Okay. Um,
[1037] 54:29	but you know, bad reason is bad
[1038] 54:31	reasoning.
[1039] 54:35	So,
[1040] 54:39	you know, there's there's there's major
[1041] 54:42	disagreements. There's disagreements on
[1042] 54:44	the specifics of Egyptian chronology.
[1043] 54:47	Therefore, Egyptian history doesn't
[1044] 54:49	exist. [laughter]
[1045] 54:57	I don't believe in cheese. Hey, the
[1046] 55:00	French have a different idea of cheese.
[1047] 55:02	The British have a different idea of
[1048] 55:04	cheese. The Canadians have a different
[1049] 55:06	idea of cheese. Therefore, there's no
[1050] 55:08	cheese.
[1051] 55:13	[laughter]
[1052] 55:15	By the way, I did buy a big wheel of cam
[1053] 55:17	bear today. [laughter]
[1054] 55:24	[laughter]
[1055] 55:26	You know, hey,
[1056] 55:29	the British think that Stealth's the
[1057] 55:31	best cheese.
[1058] 55:33	The French think that Bree is the best
[1059] 55:35	cheese. The Canadians think cheddar is
[1060] 55:37	the best cheese. The Americans think
[1061] 55:40	that the best cheese is squeezed out
[1062] 55:42	[laughter] of a pressure tube.
[1063] 55:47	Therefore, there's no cheese. [laughter]
[1064] 55:56	EP versus uh most hate pineapple pizza,
[1065] 56:00	thus no pizza.
[1066] 56:02	>> [laughter]
[1067] 56:06	>> Yeah, disagreement does not negate the
