[0] 0:03	and stream is
[2808] 2:30:48	much I'm going through all the super
[2809] 2:30:50	chats here that I
[2810] 2:30:58	have why is your camera so bad how's DS
[2811] 2:31:01	overall session
[2812] 2:31:04	attended talk just bad Locus
[2813] 2:31:10	book anything else is talking about the
[2814] 2:31:14	anything else amusing or fun at ET that
[2815] 2:31:16	you like to talk about I think that's
[2816] 2:31:19	probably
[2817] 2:31:25	it um
[2818] 2:31:31	okay um anything amusing or fun at ETS
[2819] 2:31:36	you'd like to talk
[2820] 2:31:38	about oh we had a blast of
[2821] 2:31:42	ETS um all the people who wanted selfies
[2822] 2:31:45	with Mr E that was just
[2823] 2:31:48	Riot number
[2824] 2:31:53	people you're him oh yeah there is
[2825] 2:31:57	that and they're so excited that was
[2826] 2:31:59	cool yeah we did have a lot of people
[2827] 2:32:01	stop by saw me in the hall and goes oh
[2828] 2:32:05	oh my gosh it's you it's
[2829] 2:32:11	you that was so
[2830] 2:32:13	fun that was that was I love meeting one
[2831] 2:32:16	of them I love meeting every one of you
[2832] 2:32:18	it was so it was so cool meeting meeting
[2833] 2:32:21	our our viewers you know and we made
[2834] 2:32:25	sure we took that time out to actually
[2835] 2:32:27	talk and really um if if they just stop
[2836] 2:32:32	by and they they had to run well we were
[2837] 2:32:35	we respected the time of course but if
[2838] 2:32:37	they wanted to hear a story We Tell them
[2839] 2:32:38	a story too know sometimes not a story
[2840] 2:32:40	that you'd hear on the channel here so
[2841] 2:32:43	uh that was that was a lot of fun to to
[2842] 2:32:46	uh talk to our our subscribers uh face
[2843] 2:32:50	to face we don't get that often that
[2844] 2:32:52	opportunity very often um you know that
[2845] 2:32:56	was that was really interesting and
[2846] 2:32:58	really exciting to do and uh I love
[2847] 2:33:01	every moment of our interactions with
[2848] 2:33:04	with people so um that was fantastic
[2849] 2:33:08	absolutely
[2850] 2:33:10	fantastic uh other things that were
[2851] 2:33:12	amusing and fun well there was a lot I
[2852] 2:33:15	mean a lot of stuff happened a lot of
[2853] 2:33:18	stuff
[2854] 2:33:19	happened
[2855] 2:33:22	uh uh I still remember the time when I
[2856] 2:33:25	was sitting at the table with
[2857] 2:33:28	uh uh myself and Michael in the book
[2858] 2:33:31	room and it
[2859] 2:33:33	was it was uh you know it was a pretty
[2860] 2:33:38	intense conversation we had we had some
[2861] 2:33:39	serious s to
[2862] 2:33:41	discuss and um Steve Ortiz came by again
[2863] 2:33:45	this is the guy from gazer
[2864] 2:33:47	and he asks you know you know he says
[2865] 2:33:50	how much you know U you know he said to
[2866] 2:33:53	that you know we're talking about you
[2867] 2:33:54	all over the place you know it's it's
[2868] 2:33:56	like you're you're making a real impact
[2869] 2:33:58	and then he turns to Michael and goes
[2870] 2:34:00	who are
[2871] 2:34:01	you goes uh I'm Michael Jones of
[2872] 2:34:04	inspiring philosophy Ministries and and
[2873] 2:34:07	and Ortiz goes haven't heard of you what
[2874] 2:34:10	do you
[2875] 2:34:11	do Michael Michael Michael H that really
[2876] 2:34:15	well he h goes I'm a
[2877] 2:34:17	YouTuber and he
[2878] 2:34:19	goes or well how do you know how do you
[2879] 2:34:22	know folk we're both YouTubers we know
[2880] 2:34:25	each other off of YouTube oh
[2881] 2:34:31	okay it was it was F kind of funny that
[2882] 2:34:34	that ETS the ETS circles I was kind of
[2883] 2:34:37	better known amongst um the uh uh that
[2884] 2:34:42	that sort of uh academic crust that
[2885] 2:34:44	Michael was CU cuz frankly fans know
[2886] 2:34:47	Michael a lot better than you know me
[2887] 2:34:49	okay I mean I'm I'm nothing on on the
[2888] 2:34:53	YouTube scene compared to
[2889] 2:34:55	Michael Michael's been doing it a long
[2890] 2:34:57	time he's got a great fan base uh he's
[2891] 2:35:01	he's fun to be around love I frankly I
[2892] 2:35:05	like going to uh to the Beer Garden
[2893] 2:35:07	afterwards with Michael as well it was
[2894] 2:35:08	just
[2895] 2:35:09	amazing um he was he was he was so fun
[2896] 2:35:14	and so gracious and and I really enjoyed
[2897] 2:35:16	being around Michael but it was just
[2898] 2:35:18	funny and that just one little split
[2899] 2:35:21	instant for a moment this guy didn't
[2900] 2:35:24	know who he was okay now Ortiz is not a
[2901] 2:35:27	social media guy he doesn't do social
[2902] 2:35:29	media he only hears about it because of
[2903] 2:35:32	his
[2904] 2:35:33	students so I mean it was totally
[2905] 2:35:35	amazing that uh that there was that that
[2906] 2:35:38	moment that you know this a ly scholar
[2907] 2:35:41	the head of the big Geer you know took a
[2908] 2:35:44	moment to to talk to two lowly YouTubers
[2909] 2:35:47	but you know one that he had um had had
[2910] 2:35:50	some interaction with the past so um
[2911] 2:35:52	that was fun and amusing and interesting
[2912] 2:35:55	as well so any I hope that answers your
[2913] 2:35:58	question H thank you very much for the
[2914] 2:36:00	Super Chat very much
[2915] 2:36:02	appreciated
[2916] 2:36:05	okay
[2917] 2:36:07	okay so I hope that that that that
[2918] 2:36:11	caught your attention for the Miss Super
[2919] 2:36:12	Chat so but thank you again for that uh
[2920] 2:36:17	uh for that that contribution we really
[2921] 2:36:19	appreciate
[2922] 2:36:26	it okay let's catch
[2923] 2:36:37	that Andrew Graham Mr EC the sock puppet
[2924] 2:36:40	was more popular than cool dog oh
[2925] 2:36:43	totally oh totally Mr E
[2926] 2:36:46	and that guy you know
[2927] 2:36:49	he's he's really you know a narcissist
[2928] 2:36:52	you know he knows how to photo yeah he
[2929] 2:36:55	knows how to photob bomb like like like
[2930] 2:36:57	like no other you
[2931] 2:36:58	know so no
[2932] 2:37:02	he's really really Mr E you had to do it
[2933] 2:37:05	right
[2934] 2:37:06	now good
[2935] 2:37:13	be so I mean
[2936] 2:37:16	yeah I mean Mr E is the life of the
[2937] 2:37:18	party Mr everyone loves Mr E I mean we
[2938] 2:37:22	had we had I had a a a couple of fans
[2939] 2:37:24	come by and you know I was talking to
[2940] 2:37:28	another scholar and you know commenting
[2941] 2:37:30	on his paper and a couple of them came
[2942] 2:37:33	by and you know he says you're Dr Faulk
[2943] 2:37:36	right Dr
[2944] 2:37:39	faul and he said we love your channel so
[2945] 2:37:42	much you know I'm going to Seminary you
[2946] 2:37:44	I'm learning all about this the biblical
[2947] 2:37:46	archaeology and and the Egyptian
[2948] 2:37:50	connection and he said we just want to
[2949] 2:37:52	thank you for the channel I said okay I
[2950] 2:37:54	really appreciate it thank you so much
[2951] 2:37:57	uh you do realize I have Mr EC in the
[2952] 2:37:59	bag like a selfie oh yes I'd love a
[2953] 2:38:02	selfie with Mr
[2954] 2:38:06	E so yeah absolutely uh I don't even try
[2955] 2:38:10	to win the popularity contest against
[2956] 2:38:13	the sock you know he's gonna win every
[2957] 2:38:14	time
[2958] 2:38:17	he's going to win it every
[2959] 2:38:20	time you know never share a stage with
[2960] 2:38:23	children animals or sock puppets You
[2961] 2:38:25	Know You're Gonna Lose you're just gonna
[2962] 2:38:33	lose an history gamer says Mr E is the
[2963] 2:38:37	star and Dr folk is the psychic oh
[2964] 2:38:44	totally
[2965] 2:38:47	Andrew Graham and he really only has one
[2966] 2:38:49	line
[2967] 2:38:51	yeah
[2968] 2:38:58	y oh yeah so um yeah uh he was very
[2969] 2:39:02	popular it was very very popular and one
[2970] 2:39:05	of the things too is we
[2971] 2:39:07	we we wore our
[2972] 2:39:10	merchandise I didn't dress up in a su
[2973] 2:39:13	tie you know a lot of a lot of the
[2974] 2:39:16	the scholars there are dressed up in in
[2975] 2:39:18	like suits and ties and we wore our
[2976] 2:39:22	t-shirts from our M
[2977] 2:39:24	shop so I'm walking around with like the
[2978] 2:39:27	Mr EC shirt and the veloca rabbit shirt
[2979] 2:39:30	and the funny thing about the veloca
[2980] 2:39:32	rabbit shirt was I was walking down the
[2981] 2:39:34	hall with the veloca rabbit shirt and
[2982] 2:39:37	somebody just pointed at me and said
[2983] 2:39:39	cool
[2984] 2:39:43	shirt a lot of these colleagues were
[2985] 2:39:46	jealous oh yeah a lot of my colleagues
[2986] 2:39:47	were super jealous because they have to
[2987] 2:39:50	be they have to maintain a certain
[2988] 2:39:52	appearance with you know the the uh
[2989] 2:39:55	tweed jacket with the arm patch elbow
[2990] 2:39:58	patches on it you know the tie the nice
[2991] 2:40:02	shirt um they have to dress up for this
[2992] 2:40:05	just so to maintain their respectability
[2993] 2:40:07	I don't have to do that I mean I'm a
[2994] 2:40:10	YouTuber I can dress any way I want
[2995] 2:40:12	especially now that I'm not
[2996] 2:40:14	affiliated so
[2997] 2:40:16	yeah it was a huge advantage to be able
[2998] 2:40:19	to and I could explain this too it's
[2999] 2:40:21	like you know why are you wearing your
[3000] 2:40:22	T-shirt well it's the company uniform
[3001] 2:40:24	that's the company
[3002] 2:40:26	uniform it's the uniform that you know
[3003] 2:40:29	anci years and the Bible provides for
[3004] 2:40:31	its
[3005] 2:40:35	staff so so absolutely yeah it's it's
[3006] 2:40:40	totally you know it was really really
[3007] 2:40:43	interesting that you know even I
[3008] 2:40:47	mean I was at at at a lunch I had
[3009] 2:40:51	lunch with um Mark
[3010] 2:40:55	franois very famous scholar very famous
[3011] 2:40:59	scholar um he did this excellent paper
[3012] 2:41:02	on HTI treaties I saw at McDonald's saw
[3013] 2:41:05	at McDonald's and he had heard my
[3014] 2:41:07	comments and he wanted to to hear more
[3015] 2:41:10	and so I had lunch with him at
[3016] 2:41:12	McDonald's of course Mr ADC is in the
[3017] 2:41:14	bag which talking about teaching
[3018] 2:41:16	techniques and then so I said okay I
[3019] 2:41:20	don't know if you he had I guess seen a
[3020] 2:41:23	couple my videos but wasn't a subscriber
[3021] 2:41:25	yet but I said you know if you see the
[3022] 2:41:28	popcorn videos you will get to see the
[3023] 2:41:31	sock puppet goes sock
[3024] 2:41:33	puppet and I said yeah Mr EC would you
[3025] 2:41:36	like to see Mr EC he goes oh yeah I'd
[3026] 2:41:38	love to see Mr
[3027] 2:41:39	EC so I pull him
[3028] 2:41:42	out
[3029] 2:41:44	and he Lov he thought it was
[3030] 2:41:47	hilarious he thought it was absolutely
[3031] 2:41:49	hilarious and an effective teaching
[3032] 2:41:52	tool and that's sort of you know what
[3033] 2:41:56	makes Mr E so great you know he's not
[3034] 2:41:59	just um he's not just a gag he's a
[3035] 2:42:02	teaching
[3036] 2:42:03	tool and he's a very very good at his
[3037] 2:42:07	job as a teaching tool you know all I
[3038] 2:42:10	have to do is poke him up on the screen
[3039] 2:42:12	and people know that was being said by
[3040] 2:42:15	who's ever being reviewed is providing
[3041] 2:42:19	assertions without
[3042] 2:42:21	evidence so uh anyway thank you for that
[3043] 2:42:25	comment there's anything else your H
[3044] 2:42:35	it Diane sofus we need refrigerator
[3045] 2:42:38	magnets of Mr E and pent off
[3046] 2:42:41	Etc oh that'd be cool that would be so
[3047] 2:42:44	cool that P Toppers and Magnus of
[3048] 2:42:47	mystery C the Magnus we could probably
[3049] 2:42:49	do I think I think our swag vendor does
[3050] 2:42:55	do our merch vendor does do magnet I
[3051] 2:42:58	don't know about the pen topper so that
[3052] 2:43:00	might be a little more
[3053] 2:43:06	difficult oh yeah we ran a business
[3054] 2:43:09	cards I mean we they love the new logo
[3055] 2:43:12	they love the new business cards so
[3056] 2:43:20	timara one make your own t-shirt two
[3057] 2:43:23	wear your own
[3058] 2:43:26	t-shirt three call IT company
[3059] 2:43:29	uniform
[3060] 2:43:34	absolutely at that point it's even
[3061] 2:43:37	[Laughter]
[3062] 2:43:42	deductible
[3063] 2:43:44	know we also got some people
[3064] 2:43:48	interested you know at the
[3065] 2:43:51	airport oh yeah well I mean we haven't
[3066] 2:43:53	had a conversation as my producer says
[3067] 2:43:56	you know we even had a
[3068] 2:43:58	conversation with somebody in the
[3069] 2:44:00	airport over this you know uh you know
[3070] 2:44:04	what's what's it like to be a YouTuber
[3071] 2:44:08	you know one of the people a young man
[3072] 2:44:10	who started working at the Air Force
[3073] 2:44:12	here in San Antonio he he asked us you
[3074] 2:44:15	know what's it like to actually be a
[3075] 2:44:18	YouTuber you know because um you
[3076] 2:44:21	know I mean 10 years ago 10 years
[3077] 2:44:24	ago it was a dirty word to be called a
[3078] 2:44:27	YouTuber it didn't have a lot of
[3079] 2:44:30	respect today the younger generation
[3080] 2:44:33	knows if you're a successful YouTuber
[3081] 2:44:35	you're a success I mean even if you're
[3082] 2:44:38	not earning money to pay the
[3083] 2:44:42	rent the influence
[3084] 2:44:45	and um sway you have in the
[3085] 2:44:49	culture is incredible it's absolutely
[3086] 2:44:54	incredible
[3087] 2:44:55	so and it's something we should treat
[3088] 2:44:58	with respect honestly I don't mean
[3089] 2:45:00	respect is that people should respect us
[3090] 2:45:02	no I'm talking about YouTubers should
[3091] 2:45:05	respect the power we have as
[3092] 2:45:09	YouTubers because if we if we are not
[3093] 2:45:13	careful about how we exercise our our
[3094] 2:45:18	reach um we can do some incredible
[3095] 2:45:20	damage you know whether it be by false
[3096] 2:45:23	Doctrine or by um by
[3097] 2:45:27	slander or um you know just um misusing
[3098] 2:45:33	misusing I mean we see this with
[3099] 2:45:35	influencers a lot of influencers misuse
[3100] 2:45:39	their um their influence for personal
[3101] 2:45:44	game
[3102] 2:45:46	um yeah I'll agree with Diane here too
[3103] 2:45:49	it's a lot of work yeah absolutely it is
[3104] 2:45:51	a lot of work I mean anyone
[3105] 2:45:54	who does a lot of content creation and
[3106] 2:45:59	does it on a consistent basis knows how
[3107] 2:46:01	much work this is It's equivalent to a
[3108] 2:46:04	full-time job it's quite quite frankly
[3109] 2:46:07	the equivalent of a full-time job so you
[3110] 2:46:10	know you you spend almost I'd say two3
[3111] 2:46:15	to three of your time
[3112] 2:46:17	editing whether that's editing scripts
[3113] 2:46:19	editing in videos it's just most of the
[3114] 2:46:22	work is
[3115] 2:46:25	editing so you spend a lot of time and a
[3116] 2:46:28	lot of work to do it and it takes a lot
[3117] 2:46:30	of work to be good at this I'm not
[3118] 2:46:33	saying I'm good at this but I am saying
[3119] 2:46:36	that that you're always trying to
[3120] 2:46:38	improve yourself to make yourself better
[3121] 2:46:41	you're trying to be better with your
[3122] 2:46:44	equipment you're trying trying to be
[3123] 2:46:45	better with your um scripts and
[3124] 2:46:48	presentations you're also trying to
[3125] 2:46:50	always be better about making content
[3126] 2:46:53	that resonates with with uh the user and
[3127] 2:46:58	subscriber base that you're cultivating
[3128] 2:47:00	so it takes a lot of time it takes a lot
[3129] 2:47:02	of
[3130] 2:47:06	thought the ancient history gamer
[3131] 2:47:09	especially the educational channels
[3132] 2:47:11	absolutely yeah it's it's particular
[3133] 2:47:13	true of educational channels as
[3134] 2:47:17	well okay uh we are getting we are after
[3135] 2:47:21	midnight so what we're GNA do here is
[3136] 2:47:24	we're gonna call this a night now uh we
[3137] 2:47:27	did have an exciting uh I mean this was
[3138] 2:47:30	an exciting night now we didn't do say
[3139] 2:47:33	the full 4our live stream and that's
[3140] 2:47:35	fine uh because because we got to get up
[3141] 2:47:38	in the morning and get on a plane we did
[3142] 2:47:43	want to have some questions answered
[3143] 2:47:45	tonight we did want to do that
[3144] 2:47:49	game and just do something a little
[3145] 2:47:51	special for just hanging with us this
[3146] 2:47:54	Friday at at the end of
[3147] 2:47:56	eps so I want to thank everyone who
[3148] 2:47:59	joined us tonight uh we so glad you came
[3149] 2:48:02	out yeah we know this was a little
[3150] 2:48:05	unusual uh we know the video quality
[3151] 2:48:07	wasn't great but it was the best we
[3152] 2:48:09	could do given the circumstances we had
[3153] 2:48:11	here in in the hotel room so I want to
[3154] 2:48:14	thank our subscribers uh sorry our super
[3155] 2:48:17	Chatters and our donors who really help
[3156] 2:48:19	us go from you know keep the lights on
[3157] 2:48:23	help pay for conferences like this who
[3158] 2:48:26	um keep food on our table we really
[3159] 2:48:28	appreciate you and we really couldn't do
[3160] 2:48:29	it without your help we're so grateful
[3161] 2:48:31	for your support so appreciative we also
[3162] 2:48:35	want to thank our patreon and our
[3163] 2:48:37	membership uh um uh our members YouTube
[3164] 2:48:41	members uh you also help contribute by
[3165] 2:48:44	uh keeping our equipment up to um spec
[3166] 2:48:48	apparently more equipment for remote
[3167] 2:48:50	work as well I also want to thank our
[3168] 2:48:53	regular subscribers who subscribe to the
[3169] 2:48:55	channel uh we really really appreciate
[3170] 2:48:58	your your viewership and we also
[3171] 2:49:01	appreciate the fact that you hit that
[3172] 2:49:04	like button and comment on our videos we
[3173] 2:49:08	also want to say that if you haven't hit
[3174] 2:49:10	subscribe yet and uh don't want to miss
[3175] 2:49:12	any of our content please hit that
[3176] 2:49:13	subscribe button and the notification
[3177] 2:49:16	Bell would really do us a great favor to
[3178] 2:49:18	do so so with that said thank you very
[3179] 2:49:20	much for joining us tonight and we'll
[3180] 2:49:22	see you next time on Ancient Egypt and
[3181] 2:49:25	the
[3182] 2:49:32	[Music]
[3183] 2:49:43	Bible
[3184] 2:49:55	for
