[0] 1:48	Heat. Hey, Heat.
[724] 41:34	possible possible. Is it likely? Don't
[725] 41:37	know.
[726] 41:47	Ryan Cohen cap says, "So, not Babylon."
[727] 41:49	I don't think Babylon. I don't think
[728] 41:51	that's Babylon's likely there.
[729] 41:57	Okay, let's go to the next one.
[730] 42:02	Next super chat here
[731] 42:05	is from AJ Higgins for $2. Thank you for
[732] 42:08	the super chat.
[733] 42:09	Uh what is baptism of the spirit? Acts
[734] 42:12	15. Okay. Go to Acts.
[735] 42:17	Now the confusion of of this passage is
[736] 42:22	in its translation.
[737] 42:24	And the passage reads, "For John
[738] 42:26	baptized with water, but you shall be
[739] 42:29	baptized with the Holy Spirit not many
[740] 42:31	days from now." Now, here's the thing.
[741] 42:34	The word baptize or baptism has become
[742] 42:38	loaded language.
[743] 42:42	It probably did not have that loaded
[744] 42:45	language meaning when the text was
[745] 42:47	written.
[746] 42:49	So a lot of modern translations are now
[747] 42:53	translating baptism in this p baptized
[748] 42:56	in this passage as immersed.
[749] 43:01	Okay, which is which is the sort of the
[750] 43:03	translation we expect from standard coya
[751] 43:07	Greek per the oxyinkus papyri.
[752] 43:11	So a better people
[753] 43:15	>> yeah people used to baptize tables and
[754] 43:17	cups. Yep.
[755] 43:20	Uh so we should render this as more
[756] 43:22	along the lines of for John immersed in
[757] 43:25	water but you shall be immersed with the
[758] 43:29	Holy Spirit not many days from now. So
[759] 43:33	what is this talking about then? It's
[760] 43:36	it's a metaph it's a metaphor. Okay,
[761] 43:40	[clears throat]
[762] 43:41	you're not literally getting drenched
[763] 43:44	with the Holy Spirit. Okay. So, we're
[764] 43:48	forced here to sort of take this as more
[765] 43:50	of a metaphor. Whereas John literally
[766] 43:55	immersed water,
[767] 43:58	you know, that that baptism of
[768] 44:00	repentance
[769] 44:02	following this, you will be bapted
[770] 44:06	or overwhelmed
[771] 44:08	with the Holy Spirit
[772] 44:10	not many days from now. know the Holy
[773] 44:12	Spirit basically um sanctifies
[774] 44:17	it cleanses a sin. It points us to the
[775] 44:21	right path on the Christian walk.
[776] 44:25	So,
[777] 44:27	so it's really that that sort of
[778] 44:30	esqueological inauguration in
[779] 44:33	inauguration
[780] 44:35	of salvation itself. Salvation and
[781] 44:38	redemption.
[782] 44:41	Yeah. I'm thinking faster than I'm
[783] 44:42	talking and [laughter] it happens
[784] 44:45	sometimes.
[785] 44:47	Uh
[786] 44:52	so
[787] 44:55	it's one of those things is
[788] 44:58	that
[789] 45:02	um we have to we can't it doesn't help
[790] 45:06	to to to focus on the loaded language
[791] 45:08	aspect that's come that baptism has come
[792] 45:11	to represent but take it more on its
[793] 45:15	original the way it was originally
[794] 45:17	written. and the meaning in its
[795] 45:19	historical context.
[796] 45:21	So it's really then talking about the
[797] 45:24	the presence of the Holy Spirit
[798] 45:27	overcoming us, not so much that that it
[799] 45:32	has anything to do with water at all.
[800] 45:34	Okay, so I hope that helps. Thank you
[801] 45:38	very much for the super chat. Very much
[802] 45:40	appreciated.
[803] 45:44	Okay, next super chat.
[804] 45:48	is from
[805] 45:51	uh BC4YT for $10 Australian. Thank you
[806] 45:54	very much. The super chat and he says,
[807] 45:57	"I think the best skeptical argument
[808] 45:59	against Christianity is that Christ's
[809] 46:01	body was stolen before the tomb was
[810] 46:03	sealed." Yeah, sure.
[811] 46:05	What would you say is the best evidence
[812] 46:07	against this? Couple of Roman guards
[813] 46:09	would probably uh guarding the tomb,
[814] 46:13	being told, "Don't let anyone take the
[815] 46:15	body might be good deterrent."
[816] 46:20	The Romans had no interest in in letting
[817] 46:22	someone steal that.
[818] 46:25	And it's possible someone might have
[819] 46:27	bribed the guard. That's possible.
[820] 46:31	But okay,
[821] 46:34	that if anyone finds out
[822] 46:37	that's
[823] 46:39	that's not a good thing.
[824] 46:42	Now
[825] 46:43	uh we do see
[826] 46:46	that uh like for example after the body
[827] 46:49	goes missing
[828] 46:51	the
[829] 46:54	um
[830] 46:58	the Jewish leaders basically tell the
[831] 47:02	guards, hey, you know, tell them you
[832] 47:04	were bribed. We will back you up on
[833] 47:07	this.
[834] 47:08	Okay, you'll get into trouble if you
[835] 47:10	tell them we're bribed. Well, those
[836] 47:12	guards knew if they did that, too. Um,
[837] 47:16	that's a death penalty offense.
[838] 47:22	>> Yeah.
[839] 47:23	>> And Roman soldier no more. Exactly.
[840] 47:26	Yeah.
[841] 47:28	So, we're not we're never told
[842] 47:32	how. I mean, they did pay off the
[843] 47:35	guards, but
[844] 47:38	to to basically say the story that they
[845] 47:41	were bribed,
[846] 47:43	but at the same time too, we don't know
[847] 47:46	if the Roman guards actually reported to
[848] 47:50	their commanders that that's what
[849] 47:52	happened.
[850] 47:55	Yeah. Yeah. There's a lot of people who
[851] 47:57	take bribes and don't follow through. I
[852] 47:59	mean, I cannot imagine a a a soldier
[853] 48:03	going up to his his centurion and
[854] 48:07	saying, "Um, well, the body went missing
[855] 48:09	cuz I was bribed." [laughter]
[856] 48:14	Yeah. Yeah. That's not going to go over
[857] 48:16	well. [laughter]
[858] 48:21	That's going to go over really, really
[859] 48:23	poorly. Just saying. [laughter]
[860] 48:28	There'll be two more crucifixions by the
[861] 48:31	end of the week.
[862] 48:33	[laughter]
[863] 48:37	Okay. So
[864] 48:40	now
[865] 48:43	it could have been too that you know
[866] 48:45	there was an earthquake, the tomb did
[867] 48:47	open and they ran away. That's possible.
[868] 48:51	Uh and then once they ran away then the
[869] 48:56	body could have been stolen. Sure,
[870] 48:57	that's that's completely possible.
[871] 49:02	>> Oh, there. Yeah, for them to run away,
[872] 49:04	it'd have to It would probably be the
[873] 49:06	fact that it ran away and the storm
[874] 49:08	rolled open
[875] 49:09	>> that would have caused them to run. But
[876] 49:12	then again, now you've got cowardice.
[877] 49:15	[laughter]
[878] 49:15	>> Also not
[879] 49:17	>> not great. Also not great.
[880] 49:25	>> Yeah.
[881] 49:27	Yeah, you know,
[882] 49:29	uh but again, it this this body would
[883] 49:32	have been also stolen on the third day
[884] 49:36	if Christ was really dead.
[885] 49:39	E
[886] 49:46	>> Mrs. Producer does not want me to go
[887] 49:48	into details here, but um
[888] 49:52	yeah, that's not good, man. That is not
[889] 49:55	good.
[890] 49:59	Uh
[891] 50:02	in in that sort of temperature,
[892] 50:05	bodies do not stay fresh long.
[893] 50:10	Um yik yick.
[894] 50:15	Uh
[895] 50:17	there there's there's a good chance they
[896] 50:19	would have been whoever if if it was
[897] 50:21	stolen, whoever stole it would have been
[898] 50:24	covered with some filth.
[899] 50:27	Okay.
[900] 50:32	Oh, the smell would have been bad
[901] 50:33	enough,
[902] 50:36	but the purge fluids would have been
[903] 50:37	even worse.
[904] 50:42	Yeah.
[905] 50:44	Yeah. Yeah, they didn't mummify their
[906] 50:45	bodies. So, uh,
[907] 50:47	and and Christ's bur burial was very
[908] 50:50	hasty.
[909] 50:52	So, it didn't it didn't even get the
[910] 50:54	full spice treatment.
[911] 50:59	So, um,
[912] 51:02	so that would probably be a hu I mean,
[913] 51:04	okay, when we talk about what what are
[914] 51:06	the best arguments against the body
[915] 51:08	being stolen, it would be first. Um, the
[916] 51:11	guards would be in serious trouble if
[917] 51:13	they let someone into the tomb
[918] 51:16	or they would have uh um ran away that I
[919] 51:21	mean either bribery or cuh cowardice
[920] 51:23	would have ended up in the death penalty
[921] 51:25	for the guards. Um,
[922] 51:28	the fact is that his body would have
[923] 51:30	been no condition to retrieve,
[924] 51:34	at least not
[925] 51:36	not in a pretty way. Um,
[926] 51:45	yeah. Uh, the Jews did have a thing
[927] 51:47	against touching corpses, too,
[928] 51:50	especially ones in advanced states of of
[929] 51:52	decomposition.
[930] 51:55	Um
[931] 51:57	also the fact is I mean there is also
[932] 52:01	the um the rejoinder as well that you
[933] 52:05	know 500 people saw him walking around.
[934] 52:09	So
[935] 52:11	you know I think
[936] 52:14	ain't no hiding that mess. No.
[937] 52:17	No there ain't.
[938] 52:22	Whoa.
[939] 52:27	Yeah. So, uh,
[940] 52:30	[laughter] Graeme, this is the imbalming
[941] 52:32	session of the show. Well, you are
[942] 52:35	talking to an Egyptologist. I do know a
[943] 52:38	little something about inbalming and
[944] 52:40	dead people.
[945] 52:43	[laughter]
[946] 52:53	Mama gives a lot of laughing here.
[947] 52:55	[laughter]
[948] 52:56	Oh yeah, she finds this funny.
[949] 52:59	Mrs. Producer is about to lose her
[950] 53:00	cookies, but [laughter] mama thinks this
[951] 53:03	is hilarious.
[952] 53:07	Okay, so then let's So that that would
[953] 53:09	be the three points of evidence I would
[954] 53:11	say is against the body being stolen
[955] 53:14	essentially.
[956] 53:15	um what would happen to those guards if
[957] 53:17	if such a thing did actually happen?
[958] 53:21	What would happen to the people trying
[959] 53:23	to transport the body after on the third
[960] 53:26	day? And finally, the fact that you have
[961] 53:29	500 people witnessing Christ walking
[962] 53:32	around. So
[963] 53:39	PC4 pass the Natron shaker. Oops.
[964] 53:44	>> [laughter]
[965] 53:44	>> Doc knows dead.
[966] 53:48	>> Mama says Doc knows dead and dead dead.
[967] 53:51	Yep.
[968] 53:58	Yeah. Andrew Graham. Spoiler alert. The
[969] 54:00	body wasn't stolen. Yeah.
[970] 54:03	>> How to transport a [laughter]
[971] 54:06	>> CPN versus dust. How to transport a
[972] 54:09	decaying body by Dr. David Folk. Woo.
[973] 54:13	>> I think that would get
[974] 54:16	>> Yeah, that would get unwarranted legal
[975] 54:18	attention. I'm pretty sure
[976] 54:21	>> I'm an Egyptologist. [laughter]
[977] 54:26	>> Okay, well that was fun.
[978] 54:29	[laughter]
[979] 54:31	>> Is that in the lore? Could be.
[980] 54:34	>> Absolutely not. [laughter]
[981] 54:37	Official ruling
[982] 54:39	Dr.
[983] 54:40	Isn't that
[984] 54:42	>> I have not transported a human body at
[985] 54:44	any point in time. Handled human
[986] 54:48	remains? Yes. Transported? No.
[987] 54:53	[laughter]
[988] 54:55	Okay, let's move on here.
[989] 54:58	Uh we have some uh qu we'll start on
[990] 55:00	some questions here from uh at
[991] 55:02	ministries
[992] 55:04	here. Uh
[993] 55:07	okay. He asks, "Uh, kish is in
[994] 55:10	Mesopotamia." Yes, it's in Mesopotamia.
[995] 55:14	I thought it's in Arabia.
[996] 55:16	Again, uh, this comes out of Genesis 10.
[997] 55:20	Genesis 10 is ethnography. You can't
[998] 55:23	take ethnography at face value. You
[999] 55:26	always have to compare ethnography to
[1000] 55:30	the geography and to the actual
[1001] 55:35	biological lines of descent.
[1002] 55:39	So Kish is definitely in Mesopotentia.
[1003] 55:41	It's actually near Syria.
[1004] 55:44	So uh so it's it's not in Arabia. Um
[1005] 55:50	again, people make this mistake all the
[1006] 55:52	time of confusing ethnography and
[1007] 55:55	geography. Okay, but it's it's such a
[1008] 55:58	common thing that I have to sort of
[1009] 56:01	repeat this over and over again. But
[1010] 56:03	anyway, I hope that helped. Thank you
[1011] 56:05	for the super chat. very much appreciate
[1012] 56:07	it.
[1013] 56:10	Next question
[1014] 56:13	from AT ministries. Uh thank you very
[1015] 56:16	much for the super chat. What age did
[1016] 56:18	people get married in at at in Egypt? Uh
[1017] 56:22	it depended. Uh
[1018] 56:25	typically for women it was between
[1019] 56:29	between 16 and 19 typically.
[1020] 56:33	Uh for men it was it was put off. It
[1021] 56:36	could be quite late. It depended on how
[1022] 56:40	uh how far they got in their career. It
[1023] 56:43	could for men it could be as early as
[1024] 56:45	about 20
[1025] 56:47	normally. Uh but it could be as late as
[1026] 56:50	their 30s for a first marriage. Okay.
[1027] 56:54	But again, it depends upon what exactly
[1028] 56:57	they're doing for a living. uh if
[1029] 57:00	they're in a in a um closed community,
[1030] 57:04	in a craftsman community, it might be
[1031] 57:06	younger. If they're farmers, it might be
[1032] 57:09	a little older. It just really depends.
[1033] 57:13	So, but you know, typically for women
[1034] 57:16	quite young while they're still you most
[1035] 57:18	of the time while they're still in their
[1036] 57:20	their their late teens. For men, it's
[1037] 57:22	usually their early 20s. So, hope that
[1038] 57:25	helps. Thank you for the super chat.
[1039] 57:26	Very much appreciate it.
[1040] 57:33	Okay. And his next one is thoughts on
[1041] 57:35	John Walson's change of mind on Genesis
[1042] 57:37	1 being a temple motif and Adam and Eve
[1043] 57:42	not being priests in Genesis 2 3. I
[1044] 57:44	don't I don't think he's correct here.
[1045] 57:47	Um I think his original I think his
[1046] 57:50	original ideas are stronger. It's
[1047] 57:53	clearly there's clearly uh temple
[1048] 57:56	precincts being set out in Genesis 1. Uh
[1049] 58:00	it uses cultic language for idol uh
[1050] 58:02	image and likeness. Um it's really
[1051] 58:06	really clear that this is a temple
[1052] 58:08	motif. Okay. So um I don't know why he
[1053] 58:13	changed his mind on this, but I don't
[1054] 58:15	think he's correct. So hope that helps.
[1055] 58:18	Thank you for the super chat. Very much
[1056] 58:20	appreciated.
[1057] 58:27	and then we'll take this one and then
[1058] 58:29	we'll get back to the ordinary super
[1059] 58:30	chats.
[1060] 58:33	Uh, are there non-demonic non-angelic
[1061] 58:36	spirit critters?
[1062] 58:38	Yes, there are. Okay.
[1063] 58:42	Uh,
[1064] 58:44	one such spirit critter are the souls of
[1065] 58:46	human beings. Human beings are spirit
[1066] 58:49	critters.
[1067] 58:51	Even though we are in our normal
[1068] 58:54	existence here on Earth embodied spirit
[1069] 58:56	critters, we're still spirit critters.
