[0] 0:24	Hey. Hey. Hey.
[2634] 2:17:22	Yeah. So, uh very very there's very few
[2635] 2:17:25	of us and as a result, you know, if if
[2636] 2:17:28	12 are Christian out of 250. Yeah. 1/8.
[2637] 2:17:31	That sounds about right.
[2638] 2:17:33	So,
[2639] 2:17:36	okay.
[2640] 2:17:37	Uh, next one here is by Rich Adams who
[2641] 2:17:40	asks, "Food question. What is the dish
[2642] 2:17:43	Canada is best known for that is
[2643] 2:17:44	actually good?"
[2644] 2:17:49	Hawaiian pizza.
[2645] 2:17:53	>> Yeah.
[2646] 2:17:59	>> Uh, Canada invented Hawaiian pizza. It
[2647] 2:18:02	is true. We were responsible. Poutine,
[2648] 2:18:06	it's very good.
[2649] 2:18:07	Uh, Montreal smoked meat. Very good.
[2650] 2:18:12	Uh, those are distinctly Canadian
[2651] 2:18:14	dishes.
[2652] 2:18:16	Um, so, um,
[2653] 2:18:19	>> poutine.
[2654] 2:18:20	>> Poutine with moose. Oh. Um, I don't know
[2655] 2:18:23	about the moose. I mean, have, if you've
[2656] 2:18:26	ever had moose,
[2657] 2:18:28	it's very gy. Very gy.
[2658] 2:18:33	Uh, CPM versus Doss. I love pineapple on
[2659] 2:18:36	my pizza and I will fight and die on
[2660] 2:18:38	this hill. God bless Canada.
[2661] 2:18:44	>> Oh yeah, pancakes and maple syrup.
[2662] 2:18:48	>> Pancakes and maple syrup. Yep. Maple
[2663] 2:18:49	syrup is very good stuff. Although you
[2664] 2:18:52	get the people in Vermont claiming maple
[2665] 2:18:54	syrup.
[2666] 2:18:58	Moose is okay. Yeah, but it is very
[2667] 2:19:00	gamey. It is very gy.
[2668] 2:19:06	Uh, Jack goes, "Doesn't Tim Horton serve
[2669] 2:19:08	maple syrup coffee?" Not anymore. It
[2670] 2:19:10	doesn't. Not since Wendy's took it over
[2671] 2:19:12	and the food service that bought them
[2672] 2:19:14	out took it over. Yeah, a lot of
[2673] 2:19:16	Canadian stuff went to the wind as soon
[2674] 2:19:19	as they it got
[2675] 2:19:22	taken over.
[2676] 2:19:34	All right. Uh, next one here is
[2677] 2:19:38	uh from Tony G.
[2678] 2:19:40	Uh, did you catch Kings and Generals
[2679] 2:19:42	YouTube channel about their claim that
[2680] 2:19:44	Yahweh originated from the Can I go L?
[2681] 2:19:47	That's that's the Northern Kingdom
[2682] 2:19:48	hypothesis. I don't buy it. Um, it's
[2683] 2:19:52	just it's it's based upon
[2684] 2:19:57	uh certain uh suppositions that I don't
[2685] 2:19:59	think carry through. I think I think the
[2686] 2:20:00	Midianite hypothesis is a much stronger
[2687] 2:20:03	stronger um
[2688] 2:20:06	uh view. So, but I wouldn't surprise me
[2689] 2:20:10	that they would take that view. A lot of
[2690] 2:20:12	critical scholars will take the Northern
[2691] 2:20:13	Hypothesis view.
[2692] 2:20:17	Rich Adam asks, "What food do you miss
[2693] 2:20:20	most from the US?"
[2694] 2:20:29	You want me to repeat that? No.
[2695] 2:20:34	>> Uh, okay. I won't repeat it then.
[2696] 2:20:37	>> Go ahead.
[2697] 2:20:38	>> Uh, Mrs. Producer misses the the Western
[2698] 2:20:42	Bacon Cheeseburger from Carl's Jr. with
[2699] 2:20:45	cris fries and ranch dressing.
[2700] 2:20:49	I don't blame her. It's good stuff. That
[2701] 2:20:51	is a good burger.
[2702] 2:20:58	>> Yeah.
[2703] 2:21:00	Yeah. The only Carl's Jr. they had in
[2704] 2:21:02	Vancouver here closed. So, um
[2705] 2:21:05	you're going to miss that. Um
[2706] 2:21:09	I miss the what I miss uh from from the
[2707] 2:21:11	US is Mexican food. Mexican food is very
[2708] 2:21:14	good. Uh the Mexican food in Cal
[2709] 2:21:17	especially Southern California very
[2710] 2:21:20	good. I actually prefer it over TMEX.
[2711] 2:21:24	I'm not that thrilled with Texmex.
[2712] 2:21:28	Um
[2713] 2:21:30	I do like um
[2714] 2:21:38	uh have you ever had a Culver's butter
[2715] 2:21:41	burger? No, I haven't. I have not had
[2716] 2:21:43	their I've had their ice cream.
[2717] 2:21:44	>> Their ice cream?
[2718] 2:21:45	>> Yeah, their ice cream's fabulous. Um I
[2719] 2:21:47	have never had their butter burger.
[2720] 2:21:51	Uh Del Taco. That's kind of mid for me.
[2721] 2:21:54	That was That was That was kind of mid.
[2722] 2:21:57	Um
[2723] 2:22:06	Waterburger. Waterburger could be okay.
[2724] 2:22:09	Um I um yeah I I didn't have um I liked
[2725] 2:22:15	Waterburger. It was okay. Um
[2726] 2:22:18	I also did not mind uh Chick-fil-A.
[2727] 2:22:22	Um
[2728] 2:22:24	it was pretty good.
[2729] 2:22:29	But I do like the Mexican food. Mexican
[2730] 2:22:31	food I just Oh my gosh. The Mexican food
[2731] 2:22:33	is a state and is very hard to beat.
[2732] 2:22:36	Very very hard to beat.
[2733] 2:22:40	Yeah, I'm not a fan of In-N-Out.
[2734] 2:22:43	Do not I think I think In-N-Out is one
[2735] 2:22:45	of the most overrated burger chains
[2736] 2:22:47	around.
[2737] 2:22:49	Um,
[2738] 2:22:52	they do a dude. Uh, fillet steak with
[2739] 2:22:55	Bernet sauce. Actually, that is really
[2740] 2:22:56	good. I've had that. I have had that.
[2741] 2:22:58	That is very good.
[2742] 2:23:04	Yeah. Uh, fillet steak rare with Bernay
[2743] 2:23:06	is is really good.
[2744] 2:23:10	Who has the best
[2745] 2:23:14	Vancouver has genuine? Okay. Tony G
[2746] 2:23:19	asks, "Who has the best Chinese food, US
[2747] 2:23:21	or Vancouver?"
[2748] 2:23:23	Toronto.
[2749] 2:23:27	Toronto has phenomenal Chinese food.
[2750] 2:23:31	Absolutely phenomenal Chinese food. Uh
[2751] 2:23:34	the Chinese food in Vancouver is good.
[2752] 2:23:38	Um
[2753] 2:23:43	but um the one Toronto has the best
[2754] 2:23:48	Chinese food I have ever had.
[2755] 2:23:53	Um,
[2756] 2:23:54	and it didn't matter what kind of
[2757] 2:23:56	Chinese food,
[2758] 2:23:58	whether it was uh the dim sum, whether
[2759] 2:24:02	it was the baked goods, whether it was
[2760] 2:24:07	um say the Cantonese style.
[2761] 2:24:11	Toronto had just such diversity and
[2762] 2:24:15	quality of Chinese food. I mean, oh my
[2763] 2:24:18	gosh, there was even a Chinese um there
[2764] 2:24:20	was a Chinese um um what's it called
[2765] 2:24:23	now? Grocery store we used to go to and
[2766] 2:24:26	they had a little diner section down
[2767] 2:24:28	there.
[2768] 2:24:29	>> Oh yeah, we just
[2769] 2:24:32	>> Yeah, we just sat and ate there cuz and
[2770] 2:24:34	then went shopping. Could barely walk.
[2771] 2:24:39	It was so good. So good. But uh US
[2772] 2:24:43	Chinese food is so sugar loaded.
[2773] 2:24:47	>> Yeah.
[2774] 2:24:48	>> And
[2775] 2:24:49	uh what you get here is real.
[2776] 2:24:53	>> Yeah. Uh the the US Chinese food does
[2777] 2:24:55	tend to be very very sugar loaded. So
[2778] 2:24:59	I'm not a not a huge fan of US Chinese
[2779] 2:25:04	food.
[2780] 2:25:06	It's too much. It has too much sugar in
[2781] 2:25:08	it really. Um, sometimes you want that
[2782] 2:25:11	though and sometimes that can be a
[2783] 2:25:13	guilty pleasure and I'm fine with that.
[2784] 2:25:15	But,
[2785] 2:25:17	um,
[2786] 2:25:19	but you it's nice to have the other two
[2787] 2:25:21	and sour warhog.
[2788] 2:25:29	Okay. Uh, there's another uh, super chat
[2789] 2:25:32	here from farmhouse theologian for $5.
[2790] 2:25:35	Thank you so much.
[2791] 2:25:37	Um
[2792] 2:25:41	uh she asked did they go separate ways
[2793] 2:25:44	because of fanatical questions or was it
[2794] 2:25:46	before that? Uh it was before that. It
[2795] 2:25:49	was before that. Um already there had
[2796] 2:25:52	been cracks in say some of the early uh
[2797] 2:25:57	um as she's talking about here just to
[2798] 2:26:00	catch you up on the um the the division
[2799] 2:26:04	between Old Testament the uh Old
[2800] 2:26:06	Testament studies and Egyptology
[2801] 2:26:09	and she asks um did they go their
[2802] 2:26:11	separate ways because of fanatical
[2803] 2:26:12	Christians? um not so much. But there
[2804] 2:26:15	was there was the perception that you
[2805] 2:26:18	know bringing the Bible into every
[2806] 2:26:21	archaeological dis um discussion
[2807] 2:26:25	added bias.
[2808] 2:26:28	So it was more of a way to take the bias
[2809] 2:26:31	out of say a field that really didn't
[2810] 2:26:35	require it. You don't really need the
[2811] 2:26:38	Bible to interpret Egyptology.
[2812] 2:26:41	Okay.
[2813] 2:26:43	So I think in the case of Egyptology,
[2814] 2:26:46	this is a good thing. This is a good
[2815] 2:26:48	thing. You don't want every
[2816] 2:26:51	Egyptological discovery to have some guy
[2817] 2:26:54	cracking open Genesis and reading you
[2818] 2:26:56	the table of nations, okay? Cuz that's
[2819] 2:27:00	that's not going to get you good
[2820] 2:27:02	results.
[2821] 2:27:04	Um
[2822] 2:27:06	but on the other hand too the
[2823] 2:27:08	saloization of Old Testament from
[2824] 2:27:11	Egyptology
[2825] 2:27:13	was not a good thing either. So
[2826] 2:27:23	Andy Gonewell goes but you do need
[2827] 2:27:25	Egyptology to interpret the Bible. It
[2828] 2:27:28	helps. I'm not going to lie. It helps.
[2829] 2:27:33	But again, dude, this is this is what's
[2830] 2:27:35	what's happened is
[2831] 2:27:37	Egyptology has developed an incredible
[2832] 2:27:39	rigor.
[2833] 2:27:41	It's it's developed a really incredible
[2834] 2:27:43	rigor. And part of the reason why it's
[2835] 2:27:46	it's in developed a rigor is because
[2836] 2:27:48	it's a primary source um discipline. It
[2837] 2:27:52	doesn't produce a lot of graduates. So,
[2838] 2:27:55	the graduates that are produced have to
[2839] 2:27:56	be high quality.
[2840] 2:27:58	you know, if you're producing 10,000
[2841] 2:28:00	graduates a year,
[2842] 2:28:03	there's a there's going to be a quality
[2843] 2:28:04	issue there.
[2844] 2:28:07	So,
[2845] 2:28:09	so Egyptology does have it's a I mean, I
[2846] 2:28:13	I I told my history of of of ancient
[2847] 2:28:16	Egypt class this, you know, when I work
[2848] 2:28:18	worked at UBC, it was like, you know,
[2849] 2:28:21	this is not an easy class. This is the
[2850] 2:28:24	hard class for history. you passed this
[2851] 2:28:27	class, you knew almost anything.
[2852] 2:28:32	They
[2853] 2:28:32	>> of course they didn't listen because
[2854] 2:28:34	they thought all about the only thing to
[2855] 2:28:35	learn about Egypt was pyramids and
[2856] 2:28:37	aliens. But
[2857] 2:28:39	>> that's actually
[2858] 2:28:40	>> they actually believed it. Yep.
[2859] 2:28:42	>> They actually put that
[2860] 2:28:45	>> answers on the
[2861] 2:28:48	>> Yep. Just Oh my gosh. Crazy. Crazy.
[2862] 2:28:54	So yeah, I I don't think I don't think
[2863] 2:28:57	that that happened because of fanatical
[2864] 2:28:59	Christians, but it it was more of a a
[2865] 2:29:02	rigor decision than anything else
[2866] 2:29:04	really. So
[2867] 2:29:06	it's
[2868] 2:29:10	yeah, it is a bad combination of various
[2869] 2:29:12	things. So
[2870] 2:29:15	okay, next one here. Um
[2871] 2:29:25	uh imputation goes if I if a follow-up
[2872] 2:29:28	is permitted. I mostly thought Currid on
[2873] 2:29:30	Egypt is good because Kitchen wrote the
[2874] 2:29:32	forward to his book on it. Going to buy
[2875] 2:29:34	it today. Should I or avoid it? Um,
[2876] 2:29:39	I don't know what what Kitchen wrote on
[2877] 2:29:42	the forward to that book, but um,
[2878] 2:29:46	I have no idea of of asking him anymore.
[2879] 2:29:49	I do know he did not care for Courage's
[2880] 2:29:51	theory on say the gods of Egypt. And the
[2881] 2:29:55	more I look at his book, I I don't care
[2882] 2:29:58	for it. Um, again, it's it's not a it's
[2883] 2:30:02	not a rigorous view on an Egypt. So,
[2884] 2:30:10	so that's why I that's why I don't I
[2885] 2:30:12	don't recommend Kurd's work. Uh um I
[2886] 2:30:15	should I should K Curr's work on Egypt.
[2887] 2:30:20	Kurd's work on the Old Testament fine.
[2888] 2:30:24	That's fine. His stuff on Serial
[2889] 2:30:26	Palestinian archaeology that's fine.
[2890] 2:30:31	Stuff on Egypt, not so good.
[2891] 2:30:38	Yeah, Danny Dement here kind of nails
[2892] 2:30:40	it. Uh, Kur is generally good, I think,
[2893] 2:30:45	with a few holes. Not the best source,
[2894] 2:30:47	though. Yeah, that's pretty much covers
[2895] 2:30:48	it.
[2896] 2:31:05	Uh, farmhouse theologian asks, "For $5
[2897] 2:31:08	Australian, is there a school or program
[2898] 2:31:11	of Egyptology in Australia you might
[2899] 2:31:13	recommend?"
[2900] 2:31:15	Um, I hear McCquory has one, but I'm not
[2901] 2:31:18	really that into. I don't know the
[2902] 2:31:20	programs in um
[2903] 2:31:24	in Australia all that well. I know there
[2904] 2:31:27	are a few of them. I think there's two
[2905] 2:31:29	or three Egyptology programs in
[2906] 2:31:32	Australia, but um
[2907] 2:31:35	the only one I'm aware of off the top of
[2908] 2:31:37	my head is at Mcquaryy. That's about the
[2909] 2:31:39	only one I know of.
[2910] 2:31:41	Um but um
[2911] 2:31:45	um I think that's I think that was the
[2912] 2:31:47	school Aen was at, but I'm I'm not sure.
[2913] 2:31:50	I don't keep up on it. So, can't really
[2914] 2:31:53	recommend one for certain, but um but I
[2915] 2:31:57	I don't know of very many of them. So,
[2916] 2:32:01	again, Australian schools I don't really
[2917] 2:32:03	keep up on. So, I'm familiar with the
[2918] 2:32:06	ones in North America. I'm familiar with
[2919] 2:32:08	the ones in England. Those are really
[2920] 2:32:09	the ones I know well.
[2921] 2:32:24	Okay. Uh, can't let that pass me by.
[2922] 2:32:29	1017
[2923] 2:32:31	Golan asks, "Uh, your best chili
[2924] 2:32:34	recipe?" Well, my best chili recipe is
[2925] 2:32:37	my Green Goblin chili.
[2926] 2:32:40	That one won awards.
[2927] 2:32:43	That one was really That one's special.
[2928] 2:32:48	It is a chili verde.
[2929] 2:32:51	Chili verde that has Anaheim's pablanos.
[2930] 2:32:56	Um, jalapenos
[2931] 2:32:59	tomatillos.
[2932] 2:33:02	Wait a minute. Green what now? Yeah,
[2933] 2:33:04	green chili. Chili verde.
[2934] 2:33:09	Surely you must know about chili verde.
[2935] 2:33:19	Yeah, it's good stuff. Good stuff.
[2936] 2:33:35	Uh, CPM versus DOSS.
[2937] 2:33:42	Uh, chili verde is fantastic. Oh, it's
[2938] 2:33:45	so good. Um, in a burrito. It's
[2939] 2:33:49	phenomenal.
[2940] 2:33:50	Uh, with chips and sour cream. Oh. Oh,
[2941] 2:33:55	wow. It is so yummy. So yummy.
[2942] 2:34:03	Dmit. We need to get the food channel on
[2943] 2:34:06	Discord more active.
[2944] 2:34:13	Oh yeah, it's uh chili verd is
[2945] 2:34:16	delicious. It's absolutely delicious.
[2946] 2:34:19	And you slow cook it so it's just falls
[2947] 2:34:22	apart. Just Oh, so beautiful. Such a
[2948] 2:34:25	beautiful thing.
[2949] 2:34:33	Oh, pork jerky. Yeah. Yeah, we could do
[2950] 2:34:35	pork jerky in with the air fryer. Yeah.
[2951] 2:34:39	Yep.
[2952] 2:34:43	Perry Stark asks, "Why do people never
[2953] 2:34:45	you really use public domain
[2954] 2:34:46	characters?"
[2955] 2:34:48	Uh, because they generally are attached
[2956] 2:34:52	to old works.
[2957] 2:34:55	Can't think of any reason other than
[2958] 2:34:56	that.
[2959] 2:35:06	Anna Graham asks, "Who puts pineapple on
[2960] 2:35:08	pizza?" I do. I put pineapple on pizza.
[2961] 2:35:16	>> Ham and pineapple pizza.
[2962] 2:35:18	>> Oh, ham and pineapple pizza is a good
[2963] 2:35:19	thing.
[2964] 2:35:21	>> Oh, it's so good for breakfast, too.
[2965] 2:35:23	Yeah.
[2966] 2:35:46	See what else here we got.
[2967] 2:36:01	Uh the council of Marcy or the Count of
[2968] 2:36:03	Marcy, sorry, uh asked, "Do you think
[2969] 2:36:06	any Islamic beliefs today came out of
[2970] 2:36:09	ancient Egypt mythology?"
[2971] 2:36:12	There's a few. There are a few Islamic
[2972] 2:36:16	beliefs
[2973] 2:36:18	that came out of it.
[2974] 2:36:21	Um, the festival of Alhag.
[2975] 2:36:27	The Alhagog festival.
[2976] 2:36:30	Alhagog is the saint.
[2977] 2:36:33	Okay.
[2978] 2:36:36	Um,
[2979] 2:36:37	Alagog is a festival
[2980] 2:36:42	that begins at the mosque at Luxor
[2981] 2:36:44	Temple
[2982] 2:36:47	and they basically do this little parade
[2983] 2:36:51	of boats
[2984] 2:36:53	of wooden boats, model boats
[2985] 2:36:57	out of
[2986] 2:36:59	the mosque at Luxer Temple, parade it
[2987] 2:37:02	around and come back to that mosque at
[2988] 2:37:04	Luxer Temple.
[2989] 2:37:06	Looks a heck of a lot like the Egyptian
[2990] 2:37:09	Opit Festival.
[2991] 2:37:12	An awful lot like the Opet Festival.
[2992] 2:37:16	Hor.
[2993] 2:37:20	>> No relationship at all. No. No. No.
[2994] 2:37:23	Little
[2995] 2:37:24	>> correlation.
[2996] 2:37:26	>> Correlation does not equal causation.
[2997] 2:37:28	No, not at all.
[2998] 2:37:32	You'll also see um um Islamic men um
[2999] 2:37:41	uh cleaning themselves using incense.
[3000] 2:37:45	Thorification.
[3001] 2:37:48	Um, you see this sometimes like for
[3002] 2:37:50	example when they when they use the
[3003] 2:37:52	bathroom and there's no water or soap,
[3004] 2:37:55	they will uh they will take incense an
[3005] 2:37:59	incense burner and burn some incense and
[3006] 2:38:01	basically pass their hands and legs
[3007] 2:38:03	through that.
[3008] 2:38:12	That's an Egyptian thing, too.
[3009] 2:38:15	So,
[3010] 2:38:17	so yeah, there there there are there are
[3011] 2:38:19	some some Egyptian c ancient Egyptian
[3012] 2:38:21	customs that um did make their way into
[3013] 2:38:25	Islam. So,
[3014] 2:38:31	moving on.
[3015] 2:38:37	Ciao asks, "What about Egyptology and
[3016] 2:38:40	Seropalestinian archaeology? What about
[3017] 2:38:42	them?
[3018] 2:38:44	I don't think that's a question.
[3019] 2:38:48	That's not a question. That's a choice.
[3020] 2:38:50	I don't know.
[3021] 2:39:03	Tony G asks, "Are we creating new gods
[3022] 2:39:05	of the sky AI cloud data?"
[3023] 2:39:09	I don't think so. I cloud data is not
[3024] 2:39:11	really in the sky.
[3025] 2:39:13	Um it's in data centers.
[3026] 2:39:15	Um AI also is in data centers.
[3027] 2:39:19	Um I doubt the I mean there are people
[3028] 2:39:23	who are treating AI like persons or
[3029] 2:39:26	deities but I don't think most people
[3030] 2:39:28	are honestly.
[3031] 2:39:30	Harry Stark asks does David use GitHub?
[3032] 2:39:33	No he doesn't.
[3033] 2:39:35	Um, he doesn't use GitHub because he
[3034] 2:39:37	does not like his repositories out where
[3035] 2:39:40	he can't control them.
[3036] 2:39:44	Um, I like controlling my code wherever
[3037] 2:39:46	it is.
[3038] 2:39:49	So,
[3039] 2:39:52	so yeah. Um,
[3040] 2:39:58	nerds are also in data centers.
[3041] 2:40:03	Yeah.
[3042] 2:40:10	uh Chowry uh follows up here. I meant
[3043] 2:40:12	the relationship between Egyptology and
[3044] 2:40:14	Syri Palestinian archaeology. Yeah, it
[3045] 2:40:17	went through the same process. It went
[3046] 2:40:19	the same serial Palestinian
[3047] 2:40:22	uh archaeology went through the same
[3048] 2:40:23	process of trying to detach the Bible
[3049] 2:40:26	from uh and biblical uh uh archaeology
[3050] 2:40:31	from Palestinian archaeology. So they
[3051] 2:40:33	went through the same process. Um
[3052] 2:40:37	I think it was less successful though.
[3053] 2:40:40	It's less successful because the fact is
[3054] 2:40:43	serial Palestinian archaeology is still
[3055] 2:40:45	trying to look for biblical sites. How
[3056] 2:40:47	much can you detach yourself from the
[3057] 2:40:49	Bible and still look for biblical sites?
[3058] 2:40:53	It's easy for Egyptology to do that
[3059] 2:40:54	because there's very few sites in Egypt
[3060] 2:40:56	that are biblical sites.
[3061] 2:41:00	Serial Palestinian archaeology. There's
[3062] 2:41:03	a lot
[3063] 2:41:05	lot of biblical sites in Syria
[3064] 2:41:07	Palestine. So,
[3065] 2:41:10	um yeah, I I they tried to do it. I
[3066] 2:41:14	think what it left was a schizophrenic
[3067] 2:41:17	um a schizophrenic uh discipline.
[3068] 2:41:22	Um you know, serial Palestinian
[3069] 2:41:24	archaeology really cannot divorce itself
[3070] 2:41:26	from biblical archaeology
[3071] 2:41:28	and
[3072] 2:41:31	And when it does so, it starts leading
[3073] 2:41:33	to to the sort of double-minded thinking
[3074] 2:41:36	of, well, we can't trust anything in the
[3075] 2:41:37	Bible. Oh, look, we found a biblical
[3076] 2:41:39	city. Well, how Oops.
[3077] 2:41:42	>> How to cover it back up.
[3078] 2:41:44	>> Yeah, we got to cover.
[3079] 2:41:47	>> Yeah, got a covered back up. We found a
[3080] 2:41:49	biblical city. Oops. Yeah.
[3081] 2:41:53	Yeah, it's it's pretty it's pretty uh
[3082] 2:41:56	dodgy uh how how how that's
[3083] 2:41:59	schizophrenic sort of uh bifurcation
[3084] 2:42:02	works, but hey, you know, that's that's
[3085] 2:42:03	what they do.
[3086] 2:42:11	All right, next one here.
[3087] 2:42:16	Uh, Pelican Picture goes, "Bible is
[3088] 2:42:18	public. Yo, uh, domain, yo." Sometimes
[3089] 2:42:22	it is.
[3090] 2:42:25	Sometimes it is, sometimes it isn't.
[3091] 2:42:28	>> And that's something,
[3092] 2:42:30	>> you got to be very careful with Bible
[3093] 2:42:32	licensing.
[3094] 2:42:34	Uh,
[3095] 2:42:36	I'll tell you one that everyone thinks
[3096] 2:42:38	is public domain worldwide and isn't,
[3097] 2:42:42	the King James Bible.
[3098] 2:42:47	It is not public domain worldwide.
[3099] 2:42:57	It is uh in England. It is not out of
[3100] 2:43:00	copyright.
[3101] 2:43:02	It is owned by the University of
[3102] 2:43:04	Cambridge.
[3103] 2:43:08	If you use the King James Bible in a
[3104] 2:43:12	commentary and want to publish that in
[3105] 2:43:13	England, you have to get rights. The
[3106] 2:43:16	University of Cambridge,
[3107] 2:43:19	uh, England has some strange laws when
[3108] 2:43:21	it comes to copyright where it make
[3109] 2:43:23	carves out certain exceptions for
[3110] 2:43:25	certain works
[3111] 2:43:29	and those works will never go out of
[3112] 2:43:30	copyright.
[3113] 2:43:32	King James Bible's one of them. That's
[3114] 2:43:35	defeating the whole purpose.
[3115] 2:43:37	>> Peter Pan's another one.
[3116] 2:43:40	Yep.
[3117] 2:43:42	Uh, it is owned, the copyright for Peter
[3118] 2:43:46	Pan is owned by a charity in perpetuity.
[3119] 2:43:49	Children's Hospital in perpetuity.
[3120] 2:43:52	So,
[3121] 2:43:59	yeah. But um
[3122] 2:44:02	but yeah um in the case of the King
[3123] 2:44:04	James Bible it is it is owned in England
[3124] 2:44:08	by
[3125] 2:44:10	by the University of Cambridge.
[3126] 2:44:13	>> So
[3127] 2:44:14	what about all these like the theatrical
[3128] 2:44:19	the remakes are they all having to pay
[3129] 2:44:22	Roy?
[3130] 2:44:23	>> Depends which are you talking about
[3131] 2:44:25	Peter Pan. Oh yeah. Oh yeah. Yeah, the
[3132] 2:44:28	theatrical productions of Peter Pan, if
[3133] 2:44:30	they're done in England, they have to
[3134] 2:44:31	pay the royalties.
[3135] 2:44:34	>> Yeah, absolutely.
[3136] 2:44:36	>> Was uh Robin Williams.
[3137] 2:44:42	>> I have no idea. I have no idea what that
[3138] 2:44:44	was.
[3139] 2:44:46	>> Yeah, I don't know how that worked,
[3140] 2:44:49	but um yeah, it's Peter Pan is
[3141] 2:44:52	definitely owned and it'll never go out
[3142] 2:44:55	of copyright. The King James Bible will
[3143] 2:44:56	never go out of copyright in England. It
[3144] 2:44:58	just
[3145] 2:45:02	>> you hear of
[3146] 2:45:05	>> Yeah, that's why a lot of them were done
[3147] 2:45:06	in New York.
[3148] 2:45:12	CM versus DOSS. So, my King James Bible
[3149] 2:45:14	Peter Pan crossover that would have only
[3150] 2:45:17	been published in England is a no-go.
[3151] 2:45:19	Yeah, probably not.
[3152] 2:45:22	>> Hey, I want to read it.
[3153] 2:45:26	Tony G. Any heirs of the Essen holding
[3154] 2:45:29	license to the Dead Sea Scrolls?
[3155] 2:45:37	Uh Harry Stark goes, "Any thoughts to
[3156] 2:45:40	the on the public domain Bible
[3157] 2:45:42	translations?" Got to be careful, dude.
[3158] 2:45:45	You got to be careful with Bible
[3159] 2:45:46	translations. Uh some of them are not as
[3160] 2:45:49	c public domain as you think they are.
[3161] 2:45:53	Um,
[3162] 2:45:55	here's one of the things. Here's one of
[3163] 2:45:56	the traps on Bible translations.
[3164] 2:46:00	And there's some some say public uh, you
[3165] 2:46:04	know, they don't say public domain, but
[3166] 2:46:06	free for personal use.
[3167] 2:46:11	That's a big trap.
[3168] 2:46:13	Um, because if you use it in a book,
[3169] 2:46:15	it's no longer personal use. Even if you
[3170] 2:46:18	just give the book away,
[3171] 2:46:22	it's
[3172] 2:46:25	it's um
[3173] 2:46:28	once you put it in a book, even if you
[3174] 2:46:29	give the book away, it's it's for
[3175] 2:46:31	commercial use at that point. So,
[3176] 2:46:34	a lot of socalled
[3177] 2:46:37	free use Bibles are not public domain.
[3178] 2:46:40	So, you got to be really, really
[3179] 2:46:42	careful.
[3180] 2:46:48	So
[3181] 2:46:52	Harry Stark goes, "Has anyone ever
[3182] 2:46:54	gotten sued for using copyrighted Bible
[3183] 2:46:57	translation in a video?"
[3184] 2:47:00	Not to my knowledge,
[3185] 2:47:04	but
[3186] 2:47:05	>> usually
[3187] 2:47:06	>> they have gotten cease and desist
[3188] 2:47:08	notices for commentaries that had it.
[3189] 2:47:11	Usually you're allowed so much
[3190] 2:47:16	>> um depends on the license. Yeah.
[3191] 2:47:17	>> Yeah. So there's a limited
[3192] 2:47:21	>> Yeah. There's a limited free
[3193] 2:47:25	usually the entire the entire book of
[3194] 2:47:28	the Bible.
[3195] 2:47:29	>> Yeah. Yeah.
[3196] 2:47:30	>> That far exceeds.
[3197] 2:47:32	>> Yeah. Um, like there's some that some
[3198] 2:47:35	Bible some translations that allow you
[3199] 2:47:37	something like 500 verses but not more
[3200] 2:47:40	than 50% of a of an entire book.
[3201] 2:47:45	So, um, publishers do
[3202] 2:47:48	play games with licensing just to just
[3203] 2:47:51	to mess with your head.
[3204] 2:47:56	So yeah, you got to be really careful
[3205] 2:47:58	with Bible licensing because there are
[3206] 2:48:00	those so many gotchas.
[3207] 2:48:07	A lot of things you think is free isn't.
[3208] 2:48:14	Harry Stark asks, "Is the site for
[3209] 2:48:16	Jacob's Well legit?" No idea. Uh I don't
[3210] 2:48:19	think anyone's excavated. I don't think
[3211] 2:48:21	anyone will excavate it. Um, and you'd
[3212] 2:48:25	have to do an excavation of of the area
[3213] 2:48:27	to see if if it dates to that particular
[3214] 2:48:29	time. And I don't think anyone's going
[3215] 2:48:30	to do that.
[3216] 2:48:33	PA888 for $20. Thank you very much for
[3217] 2:48:35	the generous super chat.
[3218] 2:48:38	He says, "I consider pineapple pizza
[3219] 2:48:40	another Canadian war crime." Hey, it's
[3220] 2:48:44	only a war crime the first time.
[3221] 2:48:48	Then it becomes part of the Geneva
[3222] 2:48:50	suggestions.
[3223] 2:49:03	Uh, Ken is great about those Geneva
[3224] 2:49:06	suggestions.
[3225] 2:49:13	We have a long history of the Geneva
[3226] 2:49:15	suggestions.
[3227] 2:49:27	Uh, Danny Dement says, "Some
[3228] 2:49:29	translations are explicitly
[3229] 2:49:31	copyrighted." They're all explicitly
[3230] 2:49:32	copyrighted
[3231] 2:49:34	unless they're specifically public
[3232] 2:49:36	domain.
[3233] 2:49:42	Uh, Harry Stark goes, "I thought the KJV
[3234] 2:49:44	was public domain everywhere in the
[3235] 2:49:46	world except England.
[3236] 2:49:48	Not public domain there.
[3237] 2:50:03	>> Yeah. And there's a lot of countries
[3238] 2:50:05	that just ignore
[3239] 2:50:09	international.
[3240] 2:50:14	Uh, Chiao, so how does quoting the KJV
[3241] 2:50:17	work in England? Um,
[3242] 2:50:20	you're allowed to quote a certain amount
[3243] 2:50:23	without a license, but if you exceed
[3244] 2:50:25	that, and it's not very much for the KJV
[3245] 2:50:27	in England.
[3246] 2:50:29	I think it's something like 50 verses or
