[0] 0:00	all right [Music]
[482] 58:09	so the idea that there was just God the Father and that's it
[483] 58:16	and after that the next tear down is Humanity himself
[484] 58:22	so they didn't believe in an afterlife now you have to kind of ask the question
[485] 58:28	well if that's your your view of say God and the afterlife what's the point
[486] 58:35	of doing anything serving in the temple you know why give sacrifice why obey the sacrificial system
[487] 58:43	and you do see this sometimes in religion where people will take on beliefs
[488] 58:49	that seem to run contrary to the whole reason that somebody would practice that
[489] 58:57	religion in the first place I mean we have a version of this today
[490] 59:02	which is liberal theology you know your typical liberal theologian
[491] 59:08	and I use that term very Loosely okay because I know liberal theologians are
[492] 59:14	all over the map but a lot of liberal theologians they don't believe in the resurrection
[493] 59:20	they don't believe in the Virgin birth they don't believe in the Incarnation
[494] 59:26	they don't believe in the second coming they don't believe in the the resurrection of the Dead
[495] 59:33	they don't believe in anything that's classical Christianity
[496] 59:38	so then you have to ask the question why would you need a religion like that
[497] 59:47	well because people are treating it like a social club makes you feel good
[498] 59:55	you're doing something very ritual and and you know you might
[499] 1:00:01	please God out of it if he she or it exists
[500] 1:00:08	people have very complex reasons that don't aren't necessarily grounded
[501] 1:00:14	in a holistic View people will do all sorts of things that
[502] 1:00:20	believe all sorts of things that run contrary to say common sense of a religious
[503] 1:00:28	system and the Sadducees here were no different you know they didn't believe in
[504] 1:00:34	afterlife well that's okay because you know for them they're still serving doing what
[505] 1:00:40	they were told serving God through through the sacrificial
[506] 1:00:45	system in Torah raw is not deeply focused even though it
[507] 1:00:51	does mention spirits and angels it doesn't Focus very much on the afterlife in fact almost not at all
[508] 1:00:58	because Torah is really concerned with how you're living right then and there now it's interesting too that the
[509] 1:01:05	Sadducees did not accept any other scripture but the pentateuch
[510] 1:01:10	They didn't accept the prophets They didn't accept the the historical writings
[511] 1:01:16	so the Canon of the Sadducees is very very similar to the Samaritans
[512] 1:01:23	Torah only it's Torah only that's the only thing they accepted as scripture
[513] 1:01:29	so with that sort of limited scope of of the Holy writings
[514] 1:01:35	you can kind of see how they got to where they were once they started being introduced to Hellenistic literature
[515] 1:01:43	so anyway I hope that explained it a little of how they got to be what they
[516] 1:01:50	were essentially as soon as the temple was destroyed in 70 A.D there was really no reason for the
[517] 1:01:56	Sadducees to be around because everything they did was focused around the temple
[518] 1:02:02	as I said they had no interest in the afterlife they had no interested in
[519] 1:02:08	Angels demons Life to Come none of that concerned them because they
[520] 1:02:14	didn't accept any of that scripture so for them you know just because it was
[521] 1:02:19	inconsistent with Torah well that's an inconsistency they could live with they can live with that inconsistency to
[522] 1:02:26	keep sort of the lights on and the rituals flowing
[523] 1:02:32	so anyway uh thank you very much for the Super Chat very much appreciated and I hope that helped
[524] 1:02:43	uh mouthwash for two dollars do you take the letter of a race as authentic
[525] 1:02:50	um not familiar with that letter is that a race or
[526] 1:02:58	let me just double check this one not sure I know what you're talking about here
[527] 1:03:06	I mean I know about the letter of Estrellas
[528] 1:03:19	okay Arias the first thing is Sparta
[529] 1:03:27	I am not familiar with this piece of literature
[530] 1:03:34	okay oh okay it's in the Maccabees
[531] 1:03:40	uh that's that would make sense right there okay
[532] 1:03:47	uh I would doubt it
[533] 1:03:59	yeah the problem the problem is that Arius the first you know he was King asparta 309 to 265
[534] 1:04:08	BC you know the maccabean rebolt isn't for another 100 years
[535] 1:04:14	so I have my severe doubts that this would be authentic
[536] 1:04:19	so it looks to me that's probably sort of a historical forgery
[537] 1:04:26	not that we have ever encountered those before so I wouldn't I'm seeing that this is
[538] 1:04:33	supposed to be from the King of Sparta the first King of Sparta uh first Aries
[539] 1:04:39	the first and seeing that it's in basically a letter uh reproduced in the book of
[540] 1:04:45	Maccabees you think I've got the wrong areas which one is it then
[541] 1:04:54	how many areases are there
[542] 1:05:03	okay is there an areas there's an areas of third
[543] 1:05:09	he's in the fourth century
[544] 1:05:18	no I don't see another candidate here
[545] 1:05:28	yeah I'm I'd have to look into this
[546] 1:05:34	and yeah I'm this is again this all this would be apocrypha
[547] 1:05:39	and the Apocrypha is riddled with historical errors Okay so
[548] 1:05:47	I am not I would have to I would have to investigate this a lot further before I
[549] 1:05:55	make a definitive statement but on first blush ought to be very hesitant to S basically
[550] 1:06:03	think that this is authentic you know what does Sparta have to do with with the maccabean revolt
[551] 1:06:11	really I mean the maccabean Vault was was against the the seleucids
[552] 1:06:19	so again I'd have to look at I'd have to read it myself
[553] 1:06:24	but I would have I'd have reservations just off the top of my head
[554] 1:06:29	so and and this is one of the problems with using trying to use
[555] 1:06:37	um say the Apocrypha as a historical source and
[556] 1:06:43	this is not new this is not a new problem this is not a new problem yeah there are there are Scholars that
[557] 1:06:48	defend it but what are they having to Tinker to
[558] 1:06:54	defend this as historical so
[559] 1:07:00	um again I've got I've got reservations I've got reservations so I'm going to leave it at
[560] 1:07:07	that for the moment I might go back and I might read Maccabees and see if it does hold any
[561] 1:07:14	water at all sometimes sometimes the Apocrypha do contain historically valid things
[562] 1:07:20	the problem is is just not consistent and
[563] 1:07:36	oh
[564] 1:07:42	um story um mouthwash the letter claims that
[565] 1:07:48	Spartans are descending from Abraham no they aren't okay that one that's a pretty that's a pretty definitive no
[566] 1:07:56	um Spartans are indo-europeans the descends of Abraham are Semitic
[567] 1:08:02	people so that's that's an easy no
[568] 1:08:07	um claims that they're from Abraham is 300 trade men yeah I don't think so
[569] 1:08:13	uh even Abraham's 300 trained men are
