[0] 0:08	well there you
[2777] 2:25:49	I don't know what it's about but it was
[2778] 2:25:51	free having
[2779] 2:25:54	flash TBD I don't know what it's about
[2780] 2:25:57	but it was free having flashbacks to
[2781] 2:26:00	college
[2782] 2:26:04	yeah um I did sign a couple copies of my
[2783] 2:26:08	book um I had one guy who came to my
[2784] 2:26:12	paper just to have me sign a copy of my
[2785] 2:26:15	book um one of the last papers I sat in
[2786] 2:26:18	the day
[2787] 2:26:20	know he saw me there and he came up and
[2788] 2:26:22	he said hey you know I'm big fan of your
[2789] 2:26:26	work I teach at at a Bible College well
[2790] 2:26:30	you sign my book I said sure sure i'
[2791] 2:26:32	signed it
[2792] 2:26:35	so
[2793] 2:26:37	H oh yeah um I did have a talk with
[2794] 2:26:42	Hendrickson's about um potentially
[2795] 2:26:46	publishing my book on The Exodus uh the
[2796] 2:26:49	plagues of The Exodus
[2797] 2:26:50	they expressed an interest we don't know
[2798] 2:26:52	if they'll go for it but you know you
[2799] 2:26:54	never know but um they did Express an
[2800] 2:26:57	interest it was really funny because
[2801] 2:26:59	after they got bought out by uh Tindale
[2802] 2:27:01	Publications I never heard from them but
[2803] 2:27:04	I kept getting royalty checks from them
[2804] 2:27:06	so it was just like
[2805] 2:27:08	okay I showed up at the booth and I said
[2806] 2:27:10	You know guys um I don't know who the
[2807] 2:27:13	new acquisitions editor is but I haven't
[2808] 2:27:16	heard I haven't heard a peep from you I
[2809] 2:27:18	mean I keep getting royalty checks from
[2810] 2:27:19	you really appreciate that and I love it
[2811] 2:27:22	so I want you to keep bringing me the
[2812] 2:27:23	money but I would have thought that you
[2813] 2:27:25	would have asked me when my where my
[2814] 2:27:26	next book is coming from so
[2815] 2:27:31	um so I just reminded them that they
[2816] 2:27:34	that they um earn money off of my books
[2817] 2:27:37	and they
[2818] 2:27:39	uh oh did talk to the typ yeah I did
[2819] 2:27:42	talk to the typ setter too and he's got
[2820] 2:27:44	one fix to make in there so but yeah it
[2821] 2:27:47	was it was pretty cool to talk to
[2822] 2:27:48	Hendrickson was reminded them who you
[2823] 2:27:51	were and you are one of their authors
[2824] 2:27:56	themselves Jack Ray said everyone should
[2825] 2:27:59	mention Dr folk in comments on
[2826] 2:28:01	metatron's Egypt egyptologist videos
[2827] 2:28:05	okay uh well I appreciate that I
[2828] 2:28:08	appreciate anyone who basically goes out
[2829] 2:28:11	and tells people about the channel a lot
[2830] 2:28:14	of people have never heard of this
[2831] 2:28:16	channel because it doesn't go into their
[2832] 2:28:18	YouTube feed so so when you guys like um
[2833] 2:28:22	like our videos you discuss them on
[2834] 2:28:26	other people's channels you share the
[2835] 2:28:29	URLs on your social media platforms it
[2836] 2:28:32	helps get the message out so we really
[2837] 2:28:34	really appreciate that
[2838] 2:28:37	so um yeah F that that that would be
[2839] 2:28:40	fantastic if you guys did
[2840] 2:28:43	that okay I think we are at the end of
[2841] 2:28:46	all all the comments all the comments
[2842] 2:28:49	and Super Chat so we're going to call it
[2843] 2:28:51	an early night I know we didn't even do
[2844] 2:28:55	see we did two two and a half almost
[2845] 2:28:58	three hours so that's a fair run so I
[2846] 2:29:03	any yeah so we're going to call it an
[2847] 2:29:06	early night because we are exhausted
[2848] 2:29:09	it's been quite um a long conference we
[2849] 2:29:13	really appreciate the people who have
[2850] 2:29:16	supported the chat bon bon I just
[2851] 2:29:18	arrived
[2852] 2:29:21	[Music]
[2853] 2:29:24	no hi bon bon oh it was a great great
[2854] 2:29:29	DND game absolutely fantastic DN
[2855] 2:29:33	game okay Jack just gifted the channel
[2856] 2:29:38	I'll get to it uh jackary just gifted 20
[2857] 2:29:42	ancient egyp and Bible
[2858] 2:29:44	memberships uh thank you so very much
[2859] 2:29:47	for
[2860] 2:29:48	that and
[2861] 2:29:54	want to thank ason Weir for his 199
[2862] 2:29:57	block Super Chat uh very much appreciate
[2863] 2:30:02	that
[2864] 2:30:04	too uh but yeah it was mama says we died
[2865] 2:30:09	of laughter but not in the game that's
[2866] 2:30:12	true nobody died this time except the
[2867] 2:30:14	snake except the snake snake died so
[2868] 2:30:18	that's okay snake can die
[2869] 2:30:21	so anyway we're probably going to call
[2870] 2:30:23	it an early night here just because we
[2871] 2:30:25	are exhausted we did a lot of work over
[2872] 2:30:27	the past week it
[2873] 2:30:29	was um it's it's been exhausting
[2874] 2:30:32	absolutely exhausting so uh at this
[2875] 2:30:36	point what we're going to do is we're
[2876] 2:30:37	gonna call it at this point uh we had a
[2877] 2:30:40	great night we had a great game we also
[2878] 2:30:42	want to we want to thank you all for
[2879] 2:30:45	joining us tonight we want to thank uh
[2880] 2:30:48	those of you who gave super chats and
[2881] 2:30:52	donations to our um to our pay PayPal
[2882] 2:30:56	account we really really appreciate that
[2883] 2:30:59	thank you so very much your support
[2884] 2:31:01	allows us to come to these conferences
[2885] 2:31:04	get new information and let you know the
[2886] 2:31:07	latest skinny on what's happening in the
[2887] 2:31:10	world of archaeology and theology so
[2888] 2:31:13	that is actually really exciting that we
[2889] 2:31:15	are able to do that for you guys we also
[2890] 2:31:18	want to thank our you YouTube and uh
[2891] 2:31:21	patreon supporters or memberships uh
[2892] 2:31:24	supporters we thank you because that
[2893] 2:31:26	helped keep the equipment going we which
[2894] 2:31:28	we so very much appreciated and finally
[2895] 2:31:31	we also want to thank our regular
[2896] 2:31:34	viewers who subscribe to our V uh
[2897] 2:31:38	Channel who watch our videos who hit
[2898] 2:31:40	that like button and share the URL with
[2899] 2:31:43	other social media Outlets you guys get
[2900] 2:31:46	the message out with that said thank you
[2901] 2:31:48	very much for watching tonight and you
[2902] 2:31:51	have a great weekend and we'll see you
[2903] 2:31:53	next time on Ancient Egypt and the Bible
[2904] 2:31:56	good night everyone
