[0] 0:19	Oh,
[718] 42:48	Ooh. PC4YT Jitsu
[719] 42:56	hip slapped him.
[720] 43:00	>> Yeah,
[721] 43:02	>> we did we did do a paper on uh on the
[722] 43:06	martial arts in um the uh middle bronze
[723] 43:09	age. Yeah. Yeah. That's that's that was
[724] 43:13	how Abraham got his trained men.
[725] 43:17	Um he picked up some martial arts
[726] 43:23	experts for lack of a better word from
[727] 43:26	Egypt. Uh there was there was a there
[728] 43:29	was a martial arts how I say this uh
[729] 43:33	fascination
[730] 43:35	in uh um middle kingdom Egypt
[731] 43:40	really I mean it was um
[732] 43:45	[laughter] everyone was kung fu fighting
[733] 43:48	in the middle Bronze Age. Yeah. Yeah.
[734] 43:51	were
[735] 43:55	uh
[736] 43:58	fundial. Wait, what?
[737] 44:02	Where can we read it? I never published
[738] 44:04	that paper. I really do need to publish
[739] 44:06	that paper. But you see catalogues of of
[740] 44:11	what they call wrestling techniques.
[741] 44:13	I would characterize it more as martial
[742] 44:15	arts techniques on the walls of the
[743] 44:18	tombs of Beni Hassan. like hundreds of
[744] 44:21	techniques and they're all different.
[745] 44:24	This is a this is like a a what the
[746] 44:27	Japanese sometimes call a moku,
[747] 44:29	a a catalog of techniques.
[748] 44:34	So
[749] 44:35	um
[750] 44:38	it's uh it was it was the sort of the
[751] 44:42	absolute
[752] 44:44	how to say this elites reveled in in
[753] 44:48	this uh
[754] 44:50	in at least the the the watching of
[755] 44:53	these these these
[756] 44:55	advanced wrestling techniques.
[757] 44:59	you know, uh things such as they were
[758] 45:00	doing things such as uh leg sweeps, hip
[759] 45:03	throws,
[760] 45:05	um seoagis, all all that stuff.
[761] 45:09	It was imagine being dropkicked by
[762] 45:13	Abraham
[763] 45:16	[laughter]
[764] 45:20	like a sport. Oh yeah, like a sport. But
[765] 45:22	it was a sport meant to train for
[766] 45:24	combat.
[767] 45:26	So you see these hundreds of wrestling
[768] 45:28	techniques and then they had a weapon
[769] 45:30	section
[770] 45:32	where they were doing the same thing
[771] 45:33	with with weapons. So it was it was a
[772] 45:39	martial art that was designed for
[773] 45:40	combat.
[774] 45:42	So So very similar to what we would we
[775] 45:46	would see in say jiu-jitsu.
[776] 45:49	Very similar to that.
[777] 45:52	Uh yeah, kind of like uh Krav Maga. Uh
[778] 45:57	but but much more formal, much more
[779] 46:00	formal than Krav Maga. Um as I said,
[780] 46:04	like very much similar to what you would
[781] 46:06	see in classical jiu-jitsu.
[782] 46:09	Not not MMA,
[783] 46:11	Brazilian jiu-jitsu, but classical
[784] 46:13	jiu-jitsu.
[785] 46:18	Okay. So, um yeah. Uh so why did the
[786] 46:22	angel wrestle uh Jacob?
[787] 46:25	Uh because he wanted the blessing
[788] 46:27	because Jacob wanted the best blessing
[789] 46:29	and Jacob wouldn't let him go.
[790] 46:32	So hope that helps.
[791] 46:41	Okay, next one here from AT ministries.
[792] 46:45	Uh do angels have two forms? I always
[793] 46:48	thought you half see angels where you
[794] 46:51	see them but your brain fills in what
[795] 46:53	they looked like based upon what
[796] 46:55	expected to be there like how they
[797] 46:57	appear to the patriarchs versus Iron Age
[798] 46:59	prophets. Uh yeah, there is there is
[799] 47:02	that aspect of angels where the brain
[800] 47:04	does fill it in. Okay. But it's not a
[801] 47:07	half seat either. You're actually seeing
[802] 47:09	it,
[803] 47:11	but
[804] 47:13	you're we have to understand that what
[805] 47:17	we see
[806] 47:20	is only
[807] 47:22	partially produced by the eyes.
[808] 47:26	Your brain is what actually does the
[809] 47:28	seeing.
[810] 47:29	Your eye is just the op optical
[811] 47:32	instrument that gives the brain the cues
[812] 47:37	to fill in the rest.
[813] 47:39	Okay.
[814] 47:41	So,
[815] 47:43	and and this is how we see normally
[816] 47:45	perceive anyway
[817] 47:48	like like we don't we think we see
[818] 47:51	everything around us but we don't
[819] 47:55	like your eye is is taking an input.
[820] 47:57	Like for example, here's here's a
[821] 47:58	perfect example. Your peripheral vision.
[822] 48:02	I mean, right now I can see Mrs.
[823] 48:04	Producer through my peripheral vision.
[824] 48:08	Yes. Yes. Very funny. Very funny.
[825] 48:12	She's making fun of me in my peripheral
[826] 48:15	vision. But I don't normally notice her.
[827] 48:18	I don't normally see her in my
[828] 48:21	peripheral vision. Your peripheral
[829] 48:23	vision, you have to focus.
[830] 48:26	You You have to
[831] 48:28	focus on your peripheral vision to use
[832] 48:30	your peripheral vision.
[833] 48:32	So, it's not automatic. Your your brain
[834] 48:35	has to sort of switch gears to use that
[835] 48:37	peripheral vision. Normally, you're just
[836] 48:40	going to see what's ahead of you because
[837] 48:42	that's what your brain does.
[838] 48:44	So, your brain is always selecting
[839] 48:47	things out of the optical input. It's
[840] 48:50	not using all the optical input all the
[841] 48:52	time.
[842] 48:54	Uh
[843] 48:56	like for example too,
[844] 48:59	you know, you got this this uh you know,
[845] 49:03	there's a difference between um um
[846] 49:07	vision and perception.
[847] 49:11	What you actually see is the perception,
[848] 49:14	not the vision. Vision is just your
[849] 49:16	ability to take in optical input. Your
[850] 49:20	perception is how your mind makes sense
[851] 49:22	of that optical input.
[852] 49:24	So,
[853] 49:27	so uh in the case of angels,
[854] 49:32	you do have angels in multiple forms
[855] 49:36	depending on what the brain is expecting
[856] 49:38	to see. You do get some angels that
[857] 49:41	appear in human humanike form because
[858] 49:44	with the similacro body because the
[859] 49:46	brain is filling that in. You also see
[860] 49:49	them too in say more
[861] 49:53	um spirit critter form, you know, like
[862] 49:56	with with winged uh you know, wings
[863] 49:59	stretched out, you know, six wings and
[864] 50:01	multiple eyes and that sort of thing.
[865] 50:04	So,
[866] 50:06	so it is it is very
[867] 50:10	um it is very dependent upon how the
[868] 50:13	brain sees it. But this is true of all
[869] 50:15	vision. This is true of all vision.
[870] 50:19	It's not just true of say how we would
[871] 50:21	perceive spirit creators. It's how we
[872] 50:23	perceive other things as well.
[873] 50:26	So
[874] 50:33	um
[875] 50:36	says late antique Mediterranean
[876] 50:38	exorcists thought they could see or at
[877] 50:40	least detect angels violet disturbances
[878] 50:42	in a bowl of water.
[879] 50:45	Yeah, that's not so much different than
[880] 50:48	say a a a
[881] 50:51	um what's it called now? Um crystal
[882] 50:54	ball. Yeah, it's it's the bullet of
[883] 50:58	waters is is a a fosai for that sort of
[884] 51:02	uh thing.
[885] 51:04	So,
[886] 51:08	okay. So, at I hope that helps. Thank
[887] 51:10	you very much for the super chat. Very
[888] 51:11	much appreciate it.
[889] 51:14	Next one here
[890] 51:21	is from Joseph 33M for $2. Thank you.
[891] 51:24	Let's super chat. Matthew 2:15. How is
[892] 51:28	this prophecy about Jesus? All right,
[893] 51:29	let's pull it up.
[894] 51:37	Matthew
[895] 51:41	two
[896] 51:44	team.
[897] 51:48	Ah, okay.
[898] 51:51	A voice was heard in Rama weeping and
[899] 51:53	great mourning. Rachel weeping for her
[900] 51:56	children. She refused to be comforted
[901] 51:58	because they were no more. Okay. Um,
[902] 52:03	this is how it relates to Jesus is that
[903] 52:06	this is an event surrounding the life of
[904] 52:09	Jesus.
[905] 52:10	uh basically the slaughter of the
[906] 52:12	innocents.
[907] 52:14	It's a
[908] 52:16	it's the the slaughter of the basically
[909] 52:20	the little boys
[910] 52:22	in in um in that area. So
[911] 52:27	yeah,
[912] 52:29	so that's how it's the process prophet
[913] 52:32	is about the prophecy is about Jesus
[914] 52:34	because it's surrounding his
[915] 52:36	circumstances.
[916] 52:38	But you're reading verse 18, not 15. Oh,
[917] 52:41	is it 15? Sorry, wrong one. Uh, okay.
[918] 52:44	Let's go back
[919] 52:48	and Okay, here's sorry. Here's here's
[920] 52:50	the passage.
[921] 52:53	Um, we'll go for 14. And he arose and
[922] 52:56	took the child and his mother by night
[923] 52:58	and departed for Egypt. And there was
[924] 53:00	until the death of Herod that was spoken
[925] 53:02	by the Lord through the prophet might be
[926] 53:04	fulfilled. out of Egypt did I call my
[927] 53:07	son. Okay.
[928] 53:11	Um,
[929] 53:14	now I don't remember which passage
[930] 53:16	that's from, but uh
[931] 53:21	I have to look up which Old Testament
[932] 53:23	passage that is. Okay, so Matthew 15.
[933] 53:28	Can I grab a Bible here quickly and see
[934] 53:30	if I can find that?
[935] 53:35	See what
[936] 53:39	Matthew
[937] 53:47	Matthew 2:50
[938] 53:50	Hosea 11:1 All right. Thank you.
[939] 53:55	I found it eventually.
[940] 54:02	Okay.
[941] 54:04	Hosea
[942] 54:08	here it is
[943] 54:12	11 verse one.
[944] 54:16	When Israel was a youth, I loved him and
[945] 54:18	out of Egypt I called my son. Okay.
[946] 54:26	Um this is a this is a call uh an
[947] 54:29	illusion to the Exodus. But the Exodus
[948] 54:32	we know is a parabolic act in a way. It
[949] 54:36	is an
[950] 54:38	the whole sort of Passover Exodus event
[951] 54:42	is say setting up for Messiah. Okay. So
[952] 54:48	in this particular case uh out of Egypt
[953] 54:51	I called my son. Well, they look back
[954] 54:55	the basically the gospel writers.
[955] 54:56	They're going to look back at
[956] 54:59	what the life of Christ was like and
[957] 55:01	they're going to to make comparisons and
[958] 55:03	they're going to see if this matches the
[959] 55:06	life the life of Christ matches what's
[960] 55:08	found in the Old Testament. So, in the
[961] 55:11	case of Hosea 11:1
[962] 55:14	um out of Egypt I called my son. Well,
[963] 55:16	okay. This is the Lord speaking and
[964] 55:20	um Christ
[965] 55:23	identifies himself as the son.
[966] 55:27	So, gospel writers are going to go back
[967] 55:29	and they're going to look for references
[968] 55:30	to the sun and say, "Okay, does this
[969] 55:32	match the life of Christ?" Well, Christ
[970] 55:35	as a child did flee to Egypt. He did
[971] 55:39	flee to Egypt. And as a result,
[972] 55:44	after the death of Herod, he comes back.
[973] 55:46	He returns. So,
[974] 55:52	uh, Francis Dobs asks, "Is the slaughter
[975] 55:54	of innocence even historical?"
[976] 55:57	That's a that's a good question. We're
[977] 55:59	not quite sure if it's historical, but
[978] 56:02	here's the thing. slaughtering of in of
[979] 56:05	of children was a trivial act for a for
[980] 56:09	for a monarch. Okay. Uh
[981] 56:14	it's possible, but it wouldn't have made
[982] 56:16	much of a note.
[983] 56:22	So,
[984] 56:25	um, it's it's it's one of those things
[985] 56:27	that even if even if it did happen, it's
[986] 56:31	hard to get would be hard to get
[987] 56:33	historical confirmation of this cuz
[988] 56:35	slaughtering um, slaughtering children,
[989] 56:39	baby boys in a small town would not
[990] 56:42	raise much of an eyebrow.
[991] 56:44	That's just sort of how things worked
[992] 56:46	back then. So,
[993] 56:49	um, yeah. Yeah. Ryan Con, that was an
[994] 56:54	average Tuesday for Herod the Great.
[995] 56:55	Yeah, Harry the Great thought nothing
[996] 56:58	about killing children. He killed his
[997] 57:00	own children.
[998] 57:03	>> Uh,
[999] 57:04	>> that that was something.
[1000] 57:07	>> Yeah.
[1001] 57:08	>> Brothers.
[1002] 57:10	>> Well, I mean, I forget which one was it.
[1003] 57:13	Um, there was it was either a Roman
[1004] 57:16	emperor or I forget who said this, but
[1005] 57:21	it was better to be Herod's pig than
[1006] 57:23	Herod's son.
[1007] 57:27	[laughter]
[1008] 57:28	I thought that myself. Oh my gosh. That
[1009] 57:30	that's that's that's that that's Herod
[1010] 57:32	in a nutshell. Better to be Herod's pig
[1011] 57:35	than Herod's son.
[1012] 57:38	Whoa.
[1013] 57:40	Yeah. Yeah. Herod's not winning father
[1014] 57:42	of the year.
[1015] 57:46	Yeah, he this this is a guy who who is
[1016] 57:50	so paranoid
[1017] 57:52	so paranoid that he killed like multiple
[1018] 57:55	Yeah, it was Augustus. Yeah, that's who
[1019] 57:57	said it was Augustus. Um
[1020] 58:00	Yeah. Yeah. Better. It's better to be
[1021] 58:04	his pig than his son.
[1022] 58:07	Wow.
[1023] 58:09	Yeah. Uh Herod was was so paranoid about
[1024] 58:13	his handle on on rulership that that he
[1025] 58:17	would kill practically anyone to
[1026] 58:19	maintain it. So for him, he killed his
[1027] 58:22	own children. He's not going to care
[1028] 58:24	about the children of of Jews. Now let's
[1029] 58:28	[laughter]
[1030] 58:32	So
[1031] 58:37	uh John Smith asks, "Are there any good
[1032] 58:39	books for the ley to read detailing the
[1033] 58:42	historical life and acts of Herod?" Um
[1034] 58:47	I'm not sure. They would be uh subject
[1035] 58:50	though to recent scholarship too. the
[1036] 58:52	scholarship regarding sort of the um
[1037] 58:54	life and times of Herod has changed a
[1038] 58:56	bit over the last couple years as well
[1039] 58:59	as like our primary source for the life
[1040] 59:01	of Herod has been Josephus
[1041] 59:05	and we now know that Josephus made a few
[1042] 59:08	mistakes
[1043] 59:10	in his chronicling of Herod's life. So
[1044] 59:15	I don't know if there's a good book on
[1045] 59:17	the act life and acts of Herod. Um, you
[1046] 59:20	can get uh you can kind of get a broad
[1047] 59:22	view of it from Josephus, but uh
[1048] 59:25	understand too that some of what
[1049] 59:26	Josephus said is not exactly reliable
[1050] 59:28	either. So,
[1051] 59:32	so I would I think there needs to be a
[1052] 59:36	an updated biography for for Herod just
[1053] 59:39	to take into account the the more recent
[1054] 59:41	research that's been done on this. So,
[1055] 59:47	oh, Paris the thought the historian was
[1056] 59:49	wrong. Oh, oh, and I mean, Josephus has
[1057] 59:53	been taken as absolute god-spoken fact
[1058] 59:57	when it comes to the history of that
[1059] 59:59	time.
[1060] 1:00:00	Um,
[1061] 1:00:02	yeah. Uh, the to say that that there's
[1062] 1:00:06	um Josephus maximalism isn't an
[1063] 1:00:09	understatement. It isn't an
[1064] 1:00:10	understatement. He's been sort of been
[1065] 1:00:13	deemed an unimpeachable source. Well,
[1066] 1:00:16	we're finding all sorts of problems now
[1067] 1:00:17	with Josephus. So, yeah, not so
[1068] 1:00:20	unimpeachable anymore.
[1069] 1:00:23	So, uh
[1070] 1:00:25	like the whole dating of the Quinarius
[1071] 1:00:28	census
