[0] 0:00	a [Music]
[462] 54:00	act there are people who act on limited knowledge um but there those are the type that are not in in the fullness of
[463] 54:07	the truth to begin with but those who are in the fullness of the truth yeah
[464] 54:14	they're yeah they they're you're going to waste your time trying
[465] 54:19	to to evangelize to them it's better to to evangelize to those who have never
[466] 54:25	heard never heard and at least don't already open it to
[467] 54:30	moery we have an entire generation
[468] 54:37	only yeah yeah we got a whole no it's not even now half a
[469] 54:45	percent yeah only half a percent of young people have heard the gospel yeah there's there's there's too
[470] 54:53	many there's too many people out there who haven't heard that we shouldn't be
[471] 54:59	wasting our time on these deconverted atheists it's a waste of time
[472] 55:05	all yeah yeah the really the only reason to
[473] 55:11	engage deconverted atheists is that they Poison the Well to
[474] 55:17	reach those yeah to reach those who might be swayed by them that's the only
[475] 55:24	reason okay
[476] 55:36	um TBD says some deconverted were never True Believers though they were just raised in the church yeah but they were
[477] 55:42	they were part of the we call the we would call this the
[478] 55:48	elect okay or the chosen okay um here's
[479] 55:53	here's I think one of the things we have to be kind of cautious of too is
[480] 56:00	a you can the whole idea of True Believer is a very very slippery
[481] 56:09	concept uh there are those people who are just sort of well you know I'm going
[482] 56:15	to put my trust in this even if I don't exactly fully believe
[483] 56:21	it and they make an intellectual decision but that's enough for for the
[484] 56:27	amnesty that's sufficient so we have to be very very
[485] 56:32	careful about this whole True Believer rubric and that allows the Holy Spirit
[486] 56:39	to work yeah in them yeah
[487] 56:48	just yeah spiritual yeah yeah there is a difference between salvation and
[488] 56:54	spiritual transformation but an intellectual Ascent could get you
[489] 57:00	to full salvation because it does allow the Holy Spirit to work in your life
[490] 57:06	so so there is there is that um that potential for the Holy
[491] 57:14	Spirit to to you know just work in a guy's life with just the bare minimum
[492] 57:22	The Mustard Seed of Faith there you go it's the mustard seed of Faith does not require full
[493] 57:30	belief The Mustard Seed of Faith just requires enough
[494] 57:35	trust to let the Holy Spirit work that's all it
[495] 57:42	requires so full true belief isn't
[496] 57:47	necessary for salvation it's just the Mustard
[497] 57:53	Seed so once you have the mustard seed you start
[498] 57:59	receiving the benefits of Salvation so even though they might have not been True Believers and just raised
[499] 58:06	in the church their intellectual Ascent for even a modum at time would have been
[500] 58:12	enough to to qualify then as apostasy once they
[501] 58:18	did
[502] 58:24	deconvert so I I'm very careful about that well they were never True Believers yeah don't go there don't go there
[503] 58:31	because that's very slippery um
[504] 58:38	thing
[505] 58:49	uh with God Hy stack says does this apply to Paul too um no Paul's Paul's a
[506] 58:58	special exception to these things
[507] 59:03	um he did persecute Believers and he did not believe the the
[508] 59:08	message of Jesus Christ but he also wasn't resistant either you know he was
[509] 59:15	going along with the program and you know God sort of just intruded in said
[510] 59:21	hey you know what why are you persecuting me so I don't think could put Paul in the same category now
[511] 59:29	there'll be people who would get that vision and still
[512] 59:34	reject so the fact is that not a Christian yeah Paul was definitely not a
[513] 59:41	Christian before his road to Damascus experience but at the same time too
[514] 59:47	during that road of Damascus experience yeah he saw the eror of his
[515] 59:53	ways not everyone having a road to Damascus experience is going to see
[516] 1:00:00	that so BC says Paul was zealous for God he
[517] 1:00:06	was just misguided yeah yeah he was he was very zealous for God a lot of those
[518] 1:00:12	Pharisees weren't they were not zealous for God they were just going with the
[519] 1:00:18	program that's warning
[520] 1:00:34	also mysterious flavor asks what if we feel like our Salvation cannot be authentic because we had left the faith
[521] 1:00:41	and came back if you came back you're in the faith you're more authentic you're
[522] 1:00:46	much more authentic than most because at least you've had your faith tested um I don't worry about the people
[523] 1:00:53	who have gone away and come back you know because frankly a lot of
[524] 1:00:59	them never really
[525] 1:01:04	left um it's more the ones that left the faith and then started
[526] 1:01:11	mocking it those are the ones that I think are just
[527] 1:01:16	yeah those are the ones that are basically in
[528] 1:01:22	danger so yeah the ones there there are those that you do get some of these people who do slip away you know they
[529] 1:01:30	sort of drift away I think that's probably a better way to saying it they drift away from the
[530] 1:01:35	faith and then have a realization later on in life that they need God because
[531] 1:01:42	they've messed it up and then they come back those people never really outright
[532] 1:01:49	apostasis they just sort of drifted and he and Hebrews 6 is not a good
[533] 1:01:56	application of of those who left because of drift Hebrews 2 is the better
[534] 1:02:04	representation of those who left by drift we can just take a look at that if you want to see that so Hebrews
[535] 1:02:15	2 yeah it's really scary uh Hebrews 2 chapter 1 for this
[536] 1:02:22	reason we must pay much closer attention to what we have heard lest we drift away from
[537] 1:02:29	it let's see if
[538] 1:02:35	it's ship there's a ship metaphor in here
[539] 1:02:41	too that maybe that's it yeah
[540] 1:02:47	um yeah this this is using nautical terms think of it kind of like this it's kind of like a ship that's sort of
[541] 1:02:54	become untied and sort of dri drifting away and it's going to get wrecked by the
[542] 1:02:59	Rocks so there's also one other section here that talks about this a little bit
[543] 1:03:06	too and if I can see it I can find it here see it's a ring
[544] 1:03:33	yeah I don't see it right now but there's also another metaphor of a ring slipping off a finger
[545] 1:03:39	too in Hebrews I can't remember the passage
[546] 1:03:45	right now where that passage is but it talks about this as well where in
[547] 1:03:53	Hebrews um if I can just scan it quickly and find
