[0] 0:47	Heat. Heat. N.
[694] 39:31	hold side jobs.
[695] 39:34	It's amazing how many archaeologists
[696] 39:36	work two jobs to actually do this.
[697] 39:39	So,
[698] 39:44	um, you know, the
[699] 39:48	the maybe the headdigger, the guy who is
[700] 39:51	in charge of a concession, he'll have a
[701] 39:53	academic post, but he's not his his
[702] 39:56	archaeology isn't paying for this.
[703] 40:01	Um, you know, uh, his his teaching
[704] 40:06	schedule is paying for this.
[705] 40:08	You know, so
[706] 40:10	and most archaeologists I know are
[707] 40:12	putting more of their money into it than
[708] 40:15	they're getting paid to do this
[709] 40:18	cuz archaeology is expensive. It's
[710] 40:21	really expensive.
[711] 40:28	It's crazy how expensive archaeology is.
[712] 40:31	I mean, you do get some organizations
[713] 40:33	like ABR who are able to fund raise
[714] 40:35	incredibly well.
[715] 40:38	um and they give they earn more money
[716] 40:40	than they they put out, but that's not
[717] 40:43	normal for archaeology.
[718] 40:47	Um most archaeologists pay have to have
[719] 40:50	to pay out of their pockets to to do
[720] 40:52	this. Like for example, the final
[721] 40:54	reports
[722] 40:56	final reports are, you know, cost an an
[723] 40:59	archaeologist four eight grand to get
[724] 41:02	them into publication. So it's not it's
[725] 41:04	not cheap. It's really not cheap.
[726] 41:08	So,
[727] 41:10	uh, Gand think grants and universities
[728] 41:13	are evil and only want certain theories
[729] 41:14	to be allowed. I thought everyone was
[730] 41:16	trying to make them name for themselves
[731] 41:17	and disprove theories all the time.
[732] 41:21	Well, they do they do have they do have
[733] 41:23	an idea. Like for example, um
[734] 41:27	you know, like the uh the wrong Wyatt
[735] 41:29	guys, you know, they're always saying,
[736] 41:33	you know, why is Black Rockck paying me?
[737] 41:37	Black Rockck's paying me. Really?
[738] 41:44	Yeah. No, Black Rockck is not paying me.
[739] 41:46	I wish they were.
[740] 41:50	bank account number.
[741] 41:53	>> Yeah, Black Rockck is not bad. Not ever
[742] 41:55	paid me a scent for anything. Um,
[743] 42:00	but I get this all the time where where
[744] 42:03	where Ron Wyatt guys will just accuse me
[745] 42:06	of of taking money from Black Rockck to
[746] 42:10	to to badmouth Ron Wyatt because
[747] 42:13	apparently there's there's actually
[748] 42:14	nothing
[749] 42:16	nothing detracting to say about Ron
[750] 42:19	Wyatt.
[751] 42:22	like for example his fake fines, his
[752] 42:25	counterfeit artifacts, his uh financial
[753] 42:28	fraud, his false prophecy, his heresy.
[754] 42:33	There's none, of course, none of that
[755] 42:35	would would ever motivate anyone to say
[756] 42:38	anything bad about Ron Wyatt. They would
[757] 42:41	have to be paid by Black Rockck to do
[758] 42:44	it.
[759] 42:50	Why would Black Rockck care? Yeah, I I
[760] 42:53	don't get that either. Why would Black
[761] 42:55	Rockck care?
[762] 42:57	Why would Why would Black Rockck care
[763] 43:00	about the Ark of the Covenant or
[764] 43:03	Israelite archaeology? You know, I I
[765] 43:05	don't understand that.
[766] 43:14	Mom says they wouldn't. No, they're too
[767] 43:16	busy making money. It's like Black
[768] 43:19	Rockck cares about making money. They
[769] 43:20	don't care about archaeological finds.
[770] 43:22	They They don't give a They don't give a
[771] 43:25	crap about that.
[772] 43:30	>> Everybody's part of the
[773] 43:33	>> Yeah.
[774] 43:35	Ryan Cohen says, "Everyone's part of the
[775] 43:37	conspiracy except for me."
[776] 43:40	That's just that's just why um uh
[777] 43:44	conspiracy theories really are lazy
[778] 43:47	thinking and melt your brain because you
[779] 43:49	know you start you start coming up with
[780] 43:51	some really weird connections.
[781] 43:55	I mean, I I had some guy accuse me today
[782] 43:59	of of of being the model of unbelief
[783] 44:03	again because I'm not uh subscribing
[784] 44:06	into Ron White and I'm the friend of
[785] 44:07	atheists,
[786] 44:09	which would be an incredible surprise
[787] 44:11	come as a incredible surprise to other
[788] 44:13	atheists.
[789] 44:21	Yeah. So, uh,
[790] 44:24	uh, Bump Papa says, "If they can tie you
[791] 44:27	to a villain, they can discredit you to
[792] 44:29	gullible people." Yeah, pretty much.
[793] 44:30	Yeah.
[794] 44:35	So, it's it's it's dumb and it's
[795] 44:37	bizarre, but yeah, uh you know, they
[796] 44:40	they've they've created this um this
[797] 44:42	idea of big archaeology, you know,
[798] 44:45	suppressing these fringe theories that
[799] 44:47	are are are got to be true because
[800] 44:50	otherwise why would would big
[801] 44:53	archaeology reject them? Well, that's
[802] 44:55	that's the Galileo fallacy.
[803] 45:05	Mama says, "A friend of atheists. I bet
[804] 45:08	you even have dinner with sinners." I
[805] 45:10	know. Shocking. Shocking.
[806] 45:19	So dumb. So dumb.
[807] 45:28	Yeah, it it's
[808] 45:31	very uninspired response that people
[809] 45:34	believe.
[810] 45:35	>> Oh yeah.
[811] 45:48	>> Just put big in the title. Instant blet.
[812] 45:53	Papa says, "Just put big in the title.
[813] 45:56	Instant villain." Yeah.
[814] 46:03	Dark Blade goes, "And to make it worse,
[815] 46:06	this is a largely posthumous influence."
[816] 46:08	It is. Yeah, it's definitely posthumous
[817] 46:10	influence. A lot of these disciples
[818] 46:12	never heard of Ron Wyatt until he after
[819] 46:15	he died and went to Yeah. Well,
[820] 46:21	yeah. I mean, it's uh Wyatt has been
[821] 46:25	more influential now than he was when he
[822] 46:28	was alive. And that's largely because of
[823] 46:31	the internet's ability to to spread
[824] 46:34	garbage like this. So,
[825] 46:40	>> well, wife keeps a husband. Yeah.
[826] 46:43	>> Husband is a bit is a much more
[827] 46:48	>> Yeah. his her her uh Mary Wyatt's uh
[828] 46:52	second heist uh husband is a shyer too.
[829] 46:55	So uh uh he's he's been very helpful in
[830] 46:59	in keeping the Wyatt legacy going.
[831] 47:14	All right, next one here
[832] 47:20	is from mama. $5. Thank you for the
[833] 47:23	super chat. When a Christian dies now,
[834] 47:26	prior to Christ's return,
[835] 47:30	what happens?
[836] 47:33	Um, okay. Uh, are they in heaven
[837] 47:36	immediately? I need reminding as a
[838] 47:38	friend is in her final days. Oh, okay. I
[839] 47:40	think I get it. Okay. Um yeah, when uh
[840] 47:45	we are told that uh that uh those who
[841] 47:49	are absent from the body are present
[842] 47:50	with the Lord. Okay, so that's what
[843] 47:52	we're told. Um so prior to Christ's
[844] 47:56	return, those who die in Christ go
[845] 47:59	directly to heaven to be with the Lord.
[846] 48:01	We see this in um we also see this
[847] 48:04	portrayed in the book of Revelations. I
[848] 48:07	believe it's Revelation 4 where all the
[849] 48:10	saints are around the throne worshiping
[850] 48:13	God.
[851] 48:14	So, and we're even told this with with
[852] 48:17	Christ on the cross where he says to the
[853] 48:19	thief, you know, um you know, you will
[854] 48:22	be with me today in paradise. Okay? Now,
[855] 48:26	shale is not paradise. Heaven is
[856] 48:28	paradise. Okay? So
[857] 48:32	um that's what heaven happens to the
[858] 48:35	dead in Christ is they go directly to
[859] 48:37	heaven at this point. They don't make a
[860] 48:38	pit stop in Shaol. They don't make a pit
[861] 48:41	stop in Hades. They go directly to be
[862] 48:43	with the Lord. So
[863] 48:55	um
[864] 48:57	uh Le um Lewis Sandival says, "Following
[865] 49:00	Mama's question, do Christians pray in
[866] 49:02	heaven after they die and in the new
[867] 49:05	heavens and earth?" Um
[868] 49:08	okay, they don't have to pray in heaven.
[869] 49:12	Now, praying is making your mind, we
[870] 49:16	have to understand what prayer is.
[871] 49:18	Prayer is making your mind in full
[872] 49:20	accord
[873] 49:22	with the will of God. That's what it is.
[874] 49:25	Yeah, there's some communication there
[875] 49:27	too,
[876] 49:28	but it's one of those things where we do
[877] 49:32	it because we are embodied uh embodied
[878] 49:36	creatures, okay? We don't have direct
[879] 49:39	access. So we try to communicate with
[880] 49:41	the heavenly father uh or any member of
[881] 49:44	the trinity in order to
[882] 49:48	have our will conform to the will of
[883] 49:50	gods as in the the lord's prayer here.
[884] 49:53	Um our father who art in heaven hallowed
[885] 49:55	be thy name thy kingdom come thy will be
[886] 49:57	done on earth as it is in heaven. Okay
[887] 50:02	so we through prayer try to conform our
[888] 50:05	will to God's will. Once you're in
[889] 50:08	heaven, you don't have to conform to
[890] 50:11	God's will because you're already
[891] 50:13	conformed being transformed into the
[892] 50:15	image of Christ.
[893] 50:18	So that function is is is redundant at
[894] 50:20	that point.
[895] 50:22	As far as prayer as a mere means of
[896] 50:24	communication, you don't have to do it.
[897] 50:28	You could just go and ask.
[898] 50:31	Okay?
[899] 50:34	You just go ask in heaven. You just can
[900] 50:37	communicate in heaven to the father
[901] 50:39	without prayer.
[902] 50:42	So
[903] 50:43	now in the new heavens and the new
[904] 50:45	earth, we're not told because we are
[905] 50:46	re-mbbodied in the new heavens and the
[906] 50:49	new earth. But the in the case of the
[907] 50:52	new heavens and the new earth, God will
[908] 50:54	be actually with us again. So even when
[909] 50:58	we're uh embodied in the new heavens and
[910] 51:00	the new earth, there's no separation
[911] 51:02	between God and man. So it would be like
[912] 51:05	talking to God like Adam talked to God
[913] 51:07	in the Garden of Eden. So
[914] 51:12	yeah.
[915] 51:14	Yeah. I'm just walking in the garden and
[916] 51:16	talking to God. Yeah.
[917] 51:22	Dark Blade goes, "So prayer is wanting
[918] 51:24	or trying to want what God wants." Yeah,
[919] 51:25	it is. Guess that means the word of
[920] 51:28	faith leaders technically aren't
[921] 51:29	praying. Uh uh uh
[922] 51:33	definitely a an aberration of prayer at
[923] 51:35	the best. So
[924] 51:46	uh Louisville says you said in previous
[925] 51:48	example that in what I forgot to ask in
[926] 51:50	the new heavens and new earth you said
[927] 51:52	that the time with Jesus is going to be
[928] 51:54	scarce. Yes it is and he's going to be
[929] 51:57	with his people. Who are they? Those who
[930] 52:01	stored up treasures in heaven. Those who
[931] 52:04	stored up the most treasures in heaven
[932] 52:05	where moth and rust will not destroy
[933] 52:08	will have the most
[934] 52:11	facetime with the master. Okay? So
[935] 52:16	Jesus's facetime will be a scarce
[936] 52:18	resource, but he's not the only member
[937] 52:22	of of the trinity that you can
[938] 52:23	communicate with in the afterlife.
[939] 52:26	You'll still have access to the Father
[940] 52:28	and to the Spirit,
[941] 52:31	but having that time
[942] 52:35	with Christ, that's a celebrity thing.
[943] 52:38	He's a celebrity.
[944] 52:41	So,
[945] 52:43	so it's one of those things where, you
[946] 52:45	know, you could talk to the father in
[947] 52:47	heaven and and and in the new heavens
[948] 52:50	and the new earth, but um you know,
[949] 52:54	Jesus, he's a scarce resource at this
[950] 52:56	point.
[951] 52:58	So, that's that's what the treasure in
[952] 53:00	heaven is, is spending time with Christ.
[953] 53:04	So,
[954] 53:06	so yes, you can still access God even in
[955] 53:09	heaven, but accessing Christ is a
[956] 53:14	different matter.
[957] 53:23	Um, Lewis Sandville, are they becoming
[958] 53:25	visible if we have access them? Will we
[959] 53:27	be able to to to know they're there? I
[960] 53:30	mean just like Adam knew God was there
[961] 53:33	just like the the Holy Spirit is the
[962] 53:36	shikina glory and has an uh eminent um
[963] 53:40	his his essence emanates glory. So
[964] 53:43	you'll be able to know that they're
[965] 53:45	there by their glory.
[966] 53:50	Uh, Dark Blade asks, "Will we have to
[967] 53:53	cover our eyes with wings like I once
[968] 53:56	heard angels around the god do uh around
[969] 53:58	God's throne do?" Um,
[970] 54:01	I don't know if we'll have to cover our
[971] 54:03	eyes. I don't think we will because
[972] 54:04	there's no sin in us.
[973] 54:07	So, uh
[974] 54:11	um so I don't think I don't think that's
[975] 54:12	one of those issues where we're going to
[976] 54:14	have to really be concerned about
[977] 54:17	>> would there be
[978] 54:19	>> Mhm. I mean, uh, they didn't cover.
[979] 54:21	>> They didn't cover, but that's more of a
[980] 54:23	that's more of a modesty thing. The
[981] 54:25	covering of the angels is a modesty
[982] 54:27	thing. So,
[983] 54:30	it's not because the angels had sin.
[984] 54:32	It's because they're being modest.
[985] 54:36	Uh, mama asks a follow-up here. So,
[986] 54:39	Jesus set aside his omnipresence
[987] 54:41	permanently in order to save us. Uh, no.
[988] 54:46	None of the trinity is omniresent. None
[989] 54:48	of them.
[990] 54:50	Um, it's probably better to say they're
[991] 54:53	multi-present.
[992] 54:54	Okay. Uh, omniresence implies that their
[993] 54:59	existence is in all places at all times.
[994] 55:04	Okay.
[995] 55:06	So, um, none of the members of the
[996] 55:09	trinity are omniresent as such, but they
[997] 55:13	have what's called, as I said,
[998] 55:15	multi-present.
[999] 55:16	Uh the father can be multi-present, the
[1000] 55:18	spirit can be multi-present, but Jesus
[1001] 55:21	is embodied. And because he's embodied,
[1002] 55:25	the body itself does not display
[1003] 55:28	multi-presence.
[1004] 55:30	Even though the spirit of Christ can be
[1005] 55:33	multi-present,
[1006] 55:35	he didn't set it aside,
[1007] 55:38	but his body is going to be in one place
[1008] 55:41	at one time because that would be the uh
[1009] 55:45	confusion of of um attributes. Uh human
